question,question_tag,property,answer,answer_tag
问申请工伤认定书时效有限制吗,问题,专业回答,申请工伤认定是有时效限制的，职工发生事故伤害或者按照职业病防治法规定被诊断、鉴定为职业病，所在单位应当自事故伤害发生之日或者被诊断、鉴定为职业病之日起30日内，向统筹地区社会保险行政部门提出工伤认定申请。遇有特殊情况，经报社会保险行政部门同意，申请时限可以适当延长。根据《工伤保险条例》第十七条第二款规定，用人单位未按前款规定提出工伤认定申请的，工伤职工或者其近亲属、工会组织在事故伤害发生之日或者被诊断、鉴定为职业病之日起1年内，可以直接向用人单位所在地统筹地区社会保险行政部门提出工伤认定申请。-法律依据：《工伤保险条例》第十七条职工发生事故伤害或者按照职业病防治法规定被诊断、鉴定为职业病，所在单位应当自事故伤害发生之日或者被诊断、鉴定为职业病之日起30日内，向统筹地区社会保险行政部门提出工伤认定申请。遇有特殊情况，经报社会保险行政部门同意，申请时限可以适当延长。用人单位未按前款规定提出工伤认定申请的，工伤职工或者其近亲属、工会组织在事故伤害发生之日或者被诊断、鉴定为职业病之日起1年内，可以直接向用人单位所在地统筹地区社会保险行政部门提出工伤认定申请。按照本条第一款规定应当由省级社会保险行政部门进行工伤认定的事项，根据属地原则由用人单位所在地的设区的市级社会保险行政部门办理。,回答
问劳动法规定过年放假期间有没有工资,问题,专业回答,按照劳动法规定，春节放假期间，工资照发。节假日和调休都是工资照发，节假日加班按三倍工资计算，调休的假期按两倍工资计算。春节属于国家法定的节假日，农历正月初一至初三为法定节假日。根据《劳动法》第四十四条规定，有下列情形之一的，用人单位应当按照下列标准支付高于劳动者正常工作时间工资的工资报酬：（一）安排劳动者延长工作时间的，支付不低于工资的百分之一百五十的工资报酬；（二）休息日安排劳动者工作又不能安排补休的，支付不低于工资的百分之二百的工资报酬；（三）法定休假日安排劳动者工作的，支付不低于工资的百分之三百的。-法律依据：《劳动法》第四十四条有下列情形之一的，用人单位应当按照下列标准支付高于劳动者正常工作时间工资的工资报酬：（一）安排劳动者延长工作时间的，支付不低于工资的百分之一百五十的工资报酬；（二）休息日安排劳动者工作又不能安排补休的，支付不低于工资的百分之二百的工资报酬；（三）法定休假日安排劳动者工作的，支付不低于工资的百分之三百的。,回答
问员工被批捕后能否解除劳动合同,问题,专业回答,员工被批捕后，应当负刑事责任的，用人单位可以解除劳动合同。根据《劳动合同法》第三十九条规定，劳动者有下列情形之一的，用人单位可以解除劳动合同：（一）在试用期间被证明不符合录用条件的；（二）严重违反用人单位的规章制度的；（三）严重失职，营私舞弊，给用人单位造成重大损害的；（四）劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；（五）因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；（六）被依法追究刑事责任的。-法律依据：《劳动合同法》第三十九条劳动者有下列情形之一的，用人单位可以解除劳动合同：（一）在试用期间被证明不符合录用条件的；（二）严重违反用人单位的规章制度的；（三）严重失职，营私舞弊，给用人单位造成重大损害的；（四）劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；（五）因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；（六）被依法追究刑事责任的。,回答
问在试用期被开除有补偿吗,问题,专业回答,如果用人单位在试用期是合法解除劳动合同是不需要支付补偿金的，只有违反《劳动合同法》的相关规定的情况，用人单位才需要支付补偿金。用人单位没有实质性的原因就随意开除试用期员工，需要向劳动者支付补偿金。根据《劳动合同法》第四十七条第一款规定，经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。-法律依据：中华人民共和国劳动合同法第四十七条经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。劳动者月工资高于用人单位所在直辖市、设区的市级人民政府公布的本地区上年度职工月平均工资三倍的，向其支付经济补偿的标准按职工月平均工资三倍的数额支付，向其支付经济补偿的年限最高不超过十二年。本条所称月工资是指劳动者在劳动合同解除或者终止前十二个月的平均工资。,回答
问劳动合同期内辞职有补偿吗,问题,专业回答,劳动合同期内，劳动者主动辞职的，是没有补偿金的。用人单位无正当理由单方提前解除劳动合同的，劳动者才可以获得经济补偿金，劳动者单方提前辞职是不能获得经济补偿金的。若用人单位违法解除劳动合同的，应当支付劳动者的劳动报酬和经济补偿，并应支付赔偿金。根据《劳动合同法》第八十七条规定，用人单位违反本法规定解除或者终止劳动合同的，应当依照本法第四十七条规定的经济补偿标准的二倍向劳动者支付赔偿金。-法律依据：《劳动合同法》第八十七条用人单位违反本法规定解除或者终止劳动合同的，应当依照本法第四十七条规定的经济补偿标准的二倍向劳动者支付赔偿金。,回答
问单位不开解除劳动合同怎么办,问题,专业回答,单位不开解除劳动合同证明的，劳动者可以反映到劳动局、仲裁委员会处理，造成劳动者损失的，可以要求公司赔偿。用人单位应当在解除或者终止劳动合同时出具解除或者终止劳动合同的证明。根据《劳动合同法》第五十条规定，用人单位应当在解除或者终止劳动合同时出具解除或者终止劳动合同的证明，并在十五日内为劳动者办理档案和社会保险关系转移手续。劳动者应当按照双方约定，办理工作交接。用人单位依照本法有关规定应当向劳动者支付经济补偿的，在办结工作交接时支付。用人单位对已经解除或者终止的劳动合同的文本，至少保存二年备查。-法律依据：《劳动合同法》第五十条用人单位应当在解除或者终止劳动合同时出具解除或者终止劳动合同的证明，并在十五日内为劳动者办理档案和社会保险关系转移手续。劳动者应当按照双方约定，办理工作交接。用人单位依照本法有关规定应当向劳动者支付经济补偿的，在办结工作交接时支付。用人单位对已经解除或者终止的劳动合同的文本，至少保存二年备查。,回答
问劳动仲裁当中谁有举证责任,问题,专业回答,劳动仲裁中，用人单位和劳动者都有举证责任。发生劳动争议，当事人对自己提出的主张，有责任提供证据。但是，与争议事项有关的证据属于用人单位掌握管理的，用人单位应当提供。根据《劳动争议调解仲裁法》第三条规定，解决劳动争议，应当根据事实，遵循合法、公正、及时、着重调解的原则，依法保护当事人的合法权益。第四条规定，发生劳动争议，劳动者可以与用人单位协商，也可以请工会或者第三方共同与用人单位协商，达成和解协议。-法律依据：《劳动争议调解仲裁法》第三条解决劳动争议，应当根据事实，遵循合法、公正、及时、着重调解的原则，依法保护当事人的合法权益。《劳动争议调解仲裁法》第四条发生劳动争议，劳动者可以与用人单位协商，也可以请工会或者第三方共同与用人单位协商，达成和解协议。,回答
问工地工人误工费没有固定收入的怎么办,问题,专业回答,工地工人的误工费，没有固定收入的，可以按照其最近三年的平均收入计算。受害人不能举证证明其最近三年的平均收入状况的，可以参照受诉法院所在地相同或者相近行业上一年度职工的平均工资计算。根据《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第七条第一、二款规定，误工费根据受害人的误工时间和收入状况确定。误工时间根据受害人接受治疗的医疗机构出具的证明确定。受害人因伤致残持续误工的，误工时间可以计算至定残日前一天。-法律依据：《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第七条误工费根据受害人的误工时间和收入状况确定。误工时间根据受害人接受治疗的医疗机构出具的证明确定。受害人因伤致残持续误工的，误工时间可以计算至定残日前一天。受害人有固定收入的，误工费按照实际减少的收入计算。受害人无固定收入的，按照其最近三年的平均收入计算；受害人不能举证证明其最近三年的平均收入状况的，可以参照受诉法院所在地相同或者相近行业上一年度职工的平均工资计算。,回答
问被单位解除劳动合同已签字怎么办,问题,专业回答,被单位解除劳动合同已签字的，劳动合同生效。单位无故解除劳动合同的，需要支付经济补偿金给员工。如果拒绝支付的，可以申请劳动仲裁或者向劳动监察部门投诉单位的违法行为。根据《劳动合同法》第三十六条规定，用人单位与劳动者协商一致，可以解除劳动合同。第三十七条规定，劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。-法律依据：《劳动合同法》第三十六条用人单位与劳动者协商一致，可以解除劳动合同。《劳动合同法》第三十七条劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。,回答
问公司降薪劳动合同有效吗,问题,专业回答,公司降薪后需要重新签订劳动合同。在降职降薪之后，原本的劳动合同的基本内容改变了，是需要变更劳动合同的。劳动合同的变更需要根据规定，由公司和劳动者协商一致，对原合同的部分内容进行修改，变更后的合同与原合同具有同等法律效力。根据《劳动合同法》第三十五条规定，用人单位与劳动者协商一致，可以变更劳动合同约定的内容。变更劳动合同，应当采用书面形式。变更后的劳动合同文本由用人单位和劳动者各执一份。-法律依据：中华人民共和国劳动合同法第三十五条用人单位与劳动者协商一致，可以变更劳动合同约定的内容。变更劳动合同，应当采用书面形式。变更后的劳动合同文本由用人单位和劳动者各执一份。,回答
问公司劳动合同遗失可以补签吗,问题,专业回答,公司劳动合同遗失的，可以补签。劳动者与用人单位签订的劳动合同，属于劳动者的那一份劳动合同丢失，劳动者可以让公司补办。一般一式三份，由劳动者本人、用人单位和劳动部门各保存一份。根据《劳动合同法》第十条规定，建立劳动关系，应当订立书面劳动合同。已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。-法律依据：《劳动合同法》第十条建立劳动关系，应当订立书面劳动合同。已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。,回答
问什么情形下单位要支付员工补偿金,问题,专业回答,符合下列情形的，用人单位应当向劳动者支付经济补偿：1、未按照劳动合同约定提供劳动保护或者劳动条件的；2、未及时足额支付劳动报酬的；3、未依法为劳动者缴纳社会保险费的；4、用人单位的规章制度违反法律、法规的规定，损害劳动者权益的。根据《劳动合同法》第四十七条第一款规定，经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。-法律依据：《劳动合同法》第四十七条经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。劳动者月工资高于用人单位所在直辖市、设区的市级人民政府公布的本地区上年度职工月平均工资三倍的，向其支付经济补偿的标准按职工月平均工资三倍的数额支付，向其支付经济补偿的年限最高不超过十二年。本条所称月工资是指劳动者在劳动合同解除或者终止前十二个月的平均工资。,回答
问单位工伤鉴定委托书应该如何申请,问题,专业回答,工伤鉴定的申请如下：1、用人单位或员工在员工发生工伤事故后，向劳动保障局提出工伤认定申请，并提交相关材料；2、劳动保障局审查材料，决定受理；3、受理后调查核实员工的情况，并作出工伤认定决定书。根据《工伤保险条例》第十八条第一、二款规定，提出工伤认定申请应当提交下列材料：（一）工伤认定申请表；（二）与用人单位存在劳动关系（包括事实劳动关系）的证明材料；（三）医疗诊断证明或者职业病诊断证明书（或者职业病诊断鉴定书）。工伤认定申请表应当包括事故发生的时间、地点、原因以及职工伤害程度等基本情况。-法律依据：《工伤保险条例》第十八条提出工伤认定申请应当提交下列材料：（一）工伤认定申请表；（二）与用人单位存在劳动关系（包括事实劳动关系）的证明材料；（三）医疗诊断证明或者职业病诊断证明书（或者职业病诊断鉴定书）。工伤认定申请表应当包括事故发生的时间、地点、原因以及职工伤害程度等基本情况。工伤认定申请人提供材料不完整的，社会保险行政部门应当一次性书面告知工伤认定申请人需要补正的全部材料。申请人按照书面告知要求补正材料后，社会保险行政部门应当受理。,回答
问劳动合同有章没签字是否有效,问题,专业回答,劳动合同有公章但没有签字的，是有效的。劳动合同中，公司公章和法人的签字有同等的效力，合同上只有公司的公章，没有法人签字，这样不影响合同的效力。用人单位法定代表人签字并不是劳动合同生效的必备要件。根据《劳动合同法》第十六条规定，劳动合同由用人单位与劳动者协商一致，并经用人单位与劳动者在劳动合同文本上签字或者盖章生效。劳动合同文本由用人单位和劳动者各执一份。-法律依据：《劳动合同法》第十六条劳动合同由用人单位与劳动者协商一致，并经用人单位与劳动者在劳动合同文本上签字或者盖章生效。劳动合同文本由用人单位和劳动者各执一份。,回答
问可以同时进行工伤认定工伤鉴定吗,问题,专业回答,工伤认定和劳动能力鉴定一般是错开进行的，确定为工伤后，等劳动者伤情稳定后，再进行劳动能力鉴定。社会保险行政部门受理工伤认定申请后，根据审核需要可以对事故伤害进行调查核实，用人单位、职工、工会组织、医疗机构以及有关部门应当予以协助。根据《工伤保险条例》第十八条第一款规定，提出工伤认定申请应当提交下列材料：（一）工伤认定申请表；（二）与用人单位存在劳动关系（包括事实劳动关系）的证明材料；（三）医疗诊断证明或者职业病诊断证明书（或者职业病诊断鉴定书）。-法律依据：《工伤保险条例》第十八条提出工伤认定申请应当提交下列材料：（一）工伤认定申请表；（二）与用人单位存在劳动关系（包括事实劳动关系）的证明材料；（三）医疗诊断证明或者职业病诊断证明书（或者职业病诊断鉴定书）。工伤认定申请表应当包括事故发生的时间、地点、原因以及职工伤害程度等基本情况。工伤认定申请人提供材料不完整的，社会保险行政部门应当一次性书面告知工伤认定申请人需要补正的全部材料。申请人按照书面告知要求补正材料后，社会保险行政部门应当受理。,回答
问二次手术一年半能做工伤认定吗,问题,专业回答,二次手术一年半能做工伤认定。二次手术的，属于后续治疗费，可以要求工伤赔偿，协商不成的，可以申请劳动仲裁或起诉。工伤赔偿范围包括：医疗费，住院期间营养费，护理费，交通食宿费，误工费等。根据《工伤保险条例》第三十条第一、二款规定，职工因工作遭受事故伤害或者患职业病进行治疗，享受工伤医疗待遇。职工治疗工伤应当在签订服务协议的医疗机构就医，情况紧急时可以先到就近的医疗机构急救。-法律依据：《工伤保险条例》第三十条职工因工作遭受事故伤害或者患职业病进行治疗，享受工伤医疗待遇。职工治疗工伤应当在签订服务协议的医疗机构就医，情况紧急时可以先到就近的医疗机构急救。治疗工伤所需费用符合工伤保险诊疗项目目录、工伤保险药品目录、工伤保险住院服务标准的，从工伤保险基金支付。工伤保险诊疗项目目录、工伤保险药品目录、工伤保险住院服务标准，由国务院社会保险行政部门会同国务院卫生行政部门、食品药品监督管理部门等部门规定。,回答
问劳动合同到期期满无理由辞退是否有补偿金,问题,专业回答,劳动合同到期期满无理由辞退的，有补偿金。劳动合同到期，用人单位提出不续签的，应该支付劳动者经济补偿金，工作1年支付1个月工资。是否续签劳动合同，需要劳动者和用人单位协商。根据《劳动合同法》第四十七条第一款规定，经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。-法律依据：《劳动合同法》第四十七条经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。劳动者月工资高于用人单位所在直辖市、设区的市级人民政府公布的本地区上年度职工月平均工资三倍的，向其支付经济补偿的标准按职工月平均工资三倍的数额支付，向其支付经济补偿的年限最高不超过十二年。本条所称月工资是指劳动者在劳动合同解除或者终止前十二个月的平均工资。,回答
问申请工伤认定所需条件有哪些,问题,专业回答,申请工伤认定所需条件如下：（一）在工作时间和工作场所内，因工作原因受到事故伤害的；（二）工作时间前后在工作场所内，从事与工作有关的预备性或者收尾性工作受到事故伤害的；（三）在工作时间和工作场所内，因履行工作职责受到暴力等意外伤害的；（四）患职业病的；（五）因工外出期间，由于工作原因受到伤害或者发生事故下落不明的。根据《工伤保险条例》第十八条第一款规定，提出工伤认定申请应当提交下列材料：（一）工伤认定申请表；（二）与用人单位存在劳动关系（包括事实劳动关系）的证明材料；（三）医疗诊断证明或者职业病诊断证明书（或者职业病诊断鉴定书）。-法律依据：工伤保险条例第十八条提出工伤认定申请应当提交下列材料：（一）工伤认定申请表；（二）与用人单位存在劳动关系（包括事实劳动关系）的证明材料；（三）医疗诊断证明或者职业病诊断证明书（或者职业病诊断鉴定书）。工伤认定申请表应当包括事故发生的时间、地点、原因以及职工伤害程度等基本情况。工伤认定申请人提供材料不完整的，社会保险行政部门应当一次性书面告知工伤认定申请人需要补正的全部材料。申请人按照书面告知要求补正材料后，社会保险行政部门应当受理。,回答
问北京劳动合同到期不续签要支付赔偿金吗,问题,专业回答,北京劳动合同到期不续签是要支付补偿金的。劳动合同到期，劳动者没有《劳动合同法》规定的过错情形的，用人单位可以选择不续签合同并且不需要任何理由，但是应当支付经济补偿金。根据《劳动合同法》第四十七条第一款规定，经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。-法律依据：《劳动合同法》第四十七条经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。劳动者月工资高于用人单位所在直辖市、设区的市级人民政府公布的本地区上年度职工月平均工资三倍的，向其支付经济补偿的标准按职工月平均工资三倍的数额支付，向其支付经济补偿的年限最高不超过十二年。本条所称月工资是指劳动者在劳动合同解除或者终止前十二个月的平均工资。,回答
问法律上录音能证明劳动关系吗,问题,专业回答,劳动关系的存在可以用录音证明，录音录像属于我国法律规定的证据。录音证据的取得必须符合法律规定。如果录音证据的持有者采用了侵犯他人的隐私或者违反法律禁止性的规定的方式获取录音证据，则该证据不能作为诉讼证据使用。根据《民事诉讼法》第六十三条规定，证据包括：（一）当事人的陈述；（二）书证；（三）物证；（四）视听资料；（五）电子数据；（六）证人证言；（七）鉴定意见；（八）勘验笔录。证据必须查证属实，才能作为认定事实的根据。-法律依据：《民事诉讼法》第六十三条证据包括：（一）当事人的陈述；（二）书证；（三）物证；（四）视听资料；（五）电子数据；（六）证人证言；（七）鉴定意见；（八）勘验笔录。证据必须查证属实，才能作为认定事实的根据。,回答
问工伤认定时间超出一年时间该怎么办,问题,专业回答,工伤认定时间超出一年的，原则上社会保险行政部门就不会在受理申请。企业未按规定时间向劳动保障行政部门提出工伤认定申请，导致劳动保障行政部门因职工工伤认定申请超过时限而不予受理的，企业应当承担由此而给职工造成损失的赔偿责任。根据《工伤保险条例》第十七条第一款规定，职工发生事故伤害或者按照职业病防治法规定被诊断、鉴定为职业病，所在单位应当自事故伤害发生之日或者被诊断、鉴定为职业病之日起30日内，向统筹地区社会保险行政部门提出工伤认定申请。遇有特殊情况，经报社会保险行政部门同意，申请时限可以适当延长。-法律依据：工伤保险条例第十七条职工发生事故伤害或者按照职业病防治法规定被诊断、鉴定为职业病，所在单位应当自事故伤害发生之日或者被诊断、鉴定为职业病之日起30日内，向统筹地区社会保险行政部门提出工伤认定申请。遇有特殊情况，经报社会保险行政部门同意，申请时限可以适当延长。用人单位未按前款规定提出工伤认定申请的，工伤职工或者其近亲属、工会组织在事故伤害发生之日或者被诊断、鉴定为职业病之日起1年内，可以直接向用人单位所在地统筹地区社会保险行政部门提出工伤认定申请。,回答
问法律上暑假工是不是劳动关系,问题,专业回答,学生打暑假工不属于劳动关系。企业有合法的营业执照，符合单位主体，那么单位和员工之间就存在劳动关系。如果企业非法经营是指还未获得营业许可，不能构成单位的主体，那么员工和单位之间存在的仅仅是雇佣关系，劳动关系并不成立。根据《劳动合同法》第十条规定，建立劳动关系，应当订立书面劳动合同。已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。-法律依据：《劳动合同法》第十条建立劳动关系，应当订立书面劳动合同。已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。,回答
