question,question_tag,property,answer,answer_tag
问宅基地转让申请需要具备什么条件,问题,专业回答,宅基地转让申请一般需要具备的条件如下：1、受让人没有宅基地；2、受让人符合当地申请宅基地的条件；3、受让人为集体经济组织成员；4、根据所在地的具体政策，应当符合的其它条件。根据《土地管理法》第六十二条第一款、第二款的规定，农村村民一户只能拥有一处宅基地，其宅基地的面积不得超过省、自治区、直辖市规定的标准。人均土地少、不能保障一户拥有一处宅基地的地区，县级人民政府在充分尊重农村村民意愿的基础上，可以采取措施，按照省、自治区、直辖市规定的标准保障农村村民实现户有所居。-法律依据：《土地管理法》第六十二条第一款、第二款农村村民一户只能拥有一处宅基地，其宅基地的面积不得超过省、自治区、直辖市规定的标准。人均土地少、不能保障一户拥有一处宅基地的地区，县级人民政府在充分尊重农村村民意愿的基础上，可以采取措施，按照省、自治区、直辖市规定的标准保障农村村民实现户有所居。,回答
问二手房买卖合同无效怎么办,问题,专业回答,二手房买卖合同无效，已经交付的房屋，买方需返还给卖方。卖方对于买方已经支付的房款，也应当返还。如果二手房买卖合同的义务双方均未履行，则不再履行。根据《民法典》第一百五十七条的规定，民事法律行为无效、被撤销或者确定不发生效力后，行为人因该行为取得的财产，应当予以返还；不能返还或者没有必要返还的，应当折价补偿。有过错的一方应当赔偿对方由此所受到的损失；各方都有过错的，应当各自承担相应的责任。法律另有规定的，依照其规定。-法律依据：《民法典》第一百五十七条民事法律行为无效、被撤销或者确定不发生效力后，行为人因该行为取得的财产，应当予以返还；不能返还或者没有必要返还的，应当折价补偿。有过错的一方应当赔偿对方由此所受到的损失；各方都有过错的，应当各自承担相应的责任。法律另有规定的，依照其规定。,回答
问如何买土地使用权,问题,专业回答,以出让的方式取得土地使用权为例，具体流程如下：1、通过协议、招标等方式取得土地使用权；2、签订土地使用权出让合同；3、缴纳土地出让金；4、办理土地使用权登记。根据《城镇国有土地使用权出让和转让暂行条例》第十四条的规定，土地使用者应当在签订土地使用权出让合同后六十日内，支付全部土地使用权出让金。逾期未全部支付的，出让方有权解除合同，并可请求违约赔偿。第十六条规定，土地使用者在支付全部土地使用权出让金后，应当依照规定办理登记，领取土地使用证，取得土地使用权。-法律依据：《城镇国有土地使用权出让和转让暂行条例》第十四条土地使用者应当在签订土地使用权出让合同后六十日内，支付全部土地使用权出让金。逾期未全部支付的，出让方有权解除合同，并可请求违约赔偿。《城镇国有土地使用权出让和转让暂行条例》第十六条土地使用者在支付全部土地使用权出让金后，应当依照规定办理登记，领取土地使用证，取得土地使用权。,回答
问土地使用权估值和年限的规定是怎样的,问题,专业回答,土地使用权估值和年限的规定如下：《城镇国有土地使用权出让和转让暂行条例》第十条规定，土地使用权出让的地块、用途、年限和其他条件，由市、县人民政府土地管理部门会同城市规划和建设管理部门、房产管理部门共同拟定方案，按照国务院规定的批准权限报经批准后，由土地管理部门实施。第十二条规定，土地使用权出让最高年限按下列用途确定：（一）居住用地七十年；（二）工业用地五十年；（三）教育、科技、文化、卫生、体育用地五十年；（四）商业、旅游、娱乐用地四十年；（五）综合或者其他用地五十年。-法律依据：《城镇国有土地使用权出让和转让暂行条例》第十条土地使用权出让的地块、用途、年限和其他条件，由市、县人民政府土地管理部门会同城市规划和建设管理部门、房产管理部门共同拟定方案，按照国务院规定的批准权限报经批准后，由土地管理部门实施。第十二条土地使用权出让最高年限按下列用途确定：（一）居住用地七十年；（二）工业用地五十年；（三）教育、科技、文化、卫生、体育用地五十年；（四）商业、旅游、娱乐用地四十年；（五）综合或者其他用地五十年。,回答
问未经同意占用他人土地的后果是什么,问题,专业回答,未经同意占用他人土地的后果为：属于侵权行为，由县级以上土地行政主管部门处理，如果占有土地的面积超过批准的数量占用土地，多占的土地以非法占用土地论处。根据《土地管理法》第七十八条的规定，农村村民未经批准或者采取欺骗手段骗取批准，非法占用土地建住宅的，由县级以上人民政府农业农村主管部门责令退还非法占用的土地，限期拆除在非法占用的土地上新建的房屋。超过省、自治区、直辖市规定的标准，多占的土地以非法占用土地论处。-法律依据：《土地管理法》第七十八条农村村民未经批准或者采取欺骗手段骗取批准，非法占用土地建住宅的，由县级以上人民政府农业农村主管部门责令退还非法占用的土地，限期拆除在非法占用的土地上新建的房屋。超过省、自治区、直辖市规定的标准，多占的土地以非法占用土地论处。,回答
问预付征地补偿款要在什么时候支付,问题,专业回答,预付征地补偿款的支付时间为征收决定被批准之前。根据《土地管理法》第四十八条第一款、第二款的规定，征收土地应当给予公平、合理的补偿，保障被征地农民原有生活水平不降低、长远生计有保障。征收土地应当依法及时足额支付土地补偿费、安置补助费以及农村村民住宅、其他地上附着物和青苗等的补偿费用，并安排被征地农民的社会保障费用。《土地管理法实施条例》第二十六条第一款规定，土地补偿费归农村集体经济组织所有；地上附着物及青苗补偿费归地上附着物及青苗的所有者所有。-法律依据：《土地管理法》第四十八条第一款、第二款征收土地应当给予公平、合理的补偿，保障被征地农民原有生活水平不降低、长远生计有保障。征收土地应当依法及时足额支付土地补偿费、安置补助费以及农村村民住宅、其他地上附着物和青苗等的补偿费用，并安排被征地农民的社会保障费用。《土地管理法实施条例》第二十六条第一款土地补偿费归农村集体经济组织所有；地上附着物及青苗补偿费归地上附着物及青苗的所有者所有。,回答
问农村买房子注意事项有什么,问题,专业回答,农村买房子注意事项如下：1、买方是否为农村户口，为村集体经济组织成员；2、买方是否符合所在地申请宅基地的条件；3、买方是否已有宅基地；4、其它应当注意的事项。《土地管理法》第六十二条第一款、第五款、第六款规定，农村村民一户只能拥有一处宅基地，其宅基地的面积不得超过省、自治区、直辖市规定的标准。农村村民出卖、出租、赠与住宅后，再申请宅基地的，不予批准。国家允许进城落户的农村村民依法自愿有偿退出宅基地，鼓励农村集体经济组织及其成员盘活利用闲置宅基地和闲置住宅。-法律依据：《土地管理法》第六十二条农村村民一户只能拥有一处宅基地，其宅基地的面积不得超过省、自治区、直辖市规定的标准。农村村民出卖、出租、赠与住宅后，再申请宅基地的，不予批准。国家允许进城落户的农村村民依法自愿有偿退出宅基地，鼓励农村集体经济组织及其成员盘活利用闲置宅基地和闲置住宅。,回答
问土地使用权补偿分为几种情况,问题,专业回答,土地使用权补偿分为以下两种情况：1、国家因为社会公共利益的需要，提前收回国有土地使用权；2、农村征收集体土地，对于宅基地上建造的房屋进行补偿。根据《城镇国有土地使用权出让和转让暂行条例》第四十二条的规定，国家对土地使用者依法取得的土地使用权不提前收回。在特殊情况下，根据社会公共利益的需要，国家可以依照法律程序提前收回，并根据土地使用者已使用的年限和开发、利用土地的实际情况给予相应的补偿。-法律依据：《城镇国有土地使用权出让和转让暂行条例》第四十二条国家对土地使用者依法取得的土地使用权不提前收回。在特殊情况下，根据社会公共利益的需要，国家可以依照法律程序提前收回，并根据土地使用者已使用的年限和开发、利用土地的实际情况给予相应的补偿。,回答
问土地使用年限到期后的处理方式有哪些,问题,专业回答,土地使用年限到期后的处理方式如下：1、未申请续期，国家无偿取得土地使用权及其地上建筑物；2、申请续期，签订土地出让合同。缴纳土地使用权出让金，继续使用该土地。《城镇国有土地使用权出让和转让暂行条例》第四十条规定，土地使用权期满，土地使用权及其地上建筑物、其他附着物所有权由国家无偿取得。土地使用者应当交还土地使用证，并依照规定办理注销登记。第四十一条规定，土地使用权期满，土地使用者可以申请续期。需要续期的，应当依照本条例第二章的规定重新签订合同，支付土地使用权出让金，并办理登记。-法律依据：《城镇国有土地使用权出让和转让暂行条例》第四十条土地使用权期满，土地使用权及其地上建筑物、其他附着物所有权由国家无偿取得。土地使用者应当交还土地使用证，并依照规定办理注销登记。第四十一条土地使用权期满，土地使用者可以申请续期。需要续期的，应当依照本条例第二章的规定重新签订合同，支付土地使用权出让金，并办理登记。,回答
问私人地皮有土地使用证可以买卖吗,问题,专业回答,私人地皮有土地使用证，不可以买卖。因为土地所有权归国家集体所有，有土地使用权的土地只能转让使用权。根据《土地管理法》第九条的规定，城市市区的土地属于国家所有。农村和城市郊区的土地，除由法律规定属于国家所有的以外，属于农民集体所有；宅基地和自留地、自留山，属于农民集体所有。《城镇国有土地使用权出让和转让暂行条例》第十九条规定，土地使用权转让是指土地使用者将土地使用权再转移的行为，包括出售、交换和赠与。未按土地使用权出让合同规定的期限和条件投资开发、利用土地的，土地使用权不得转让。-法律依据：《土地管理法》第九条城市市区的土地属于国家所有。农村和城市郊区的土地，除由法律规定属于国家所有的以外，属于农民集体所有；宅基地和自留地、自留山，属于农民集体所有。《城镇国有土地使用权出让和转让暂行条例》第十九条土地使用权转让是指土地使用者将土地使用权再转移的行为，包括出售、交换和赠与。未按土地使用权出让合同规定的期限和条件投资开发、利用土地的，土地使用权不得转让。,回答
问非产权人能卖房吗,问题,专业回答,非产权人在一般情形下不可卖房。但是如果获得产权人的授权，则可以卖房。根据《民法典》第一百六十一条的规定，民事主体可以通过代理人实施民事法律行为。依照法律规定、当事人约定或者民事法律行为的性质，应当由本人亲自实施的民事法律行为，不得代理。第一百六十二条规定，代理人在代理权限内，以被代理人名义实施的民事法律行为，对被代理人发生效力。第一百六十五条规定，委托代理授权采用书面形式的，授权委托书应当载明代理人的姓名或者名称、代理事项、权限和期限，并由被代理人签名或者盖章。-法律依据：《民法典》第一百六十一条民事主体可以通过代理人实施民事法律行为。依照法律规定、当事人约定或者民事法律行为的性质，应当由本人亲自实施的民事法律行为，不得代理。第一百六十二条代理人在代理权限内，以被代理人名义实施的民事法律行为，对被代理人发生效力。第一百六十五条委托代理授权采用书面形式的，授权委托书应当载明代理人的姓名或者名称、代理事项、权限和期限，并由被代理人签名或者盖章。,回答
问办理房产过户要准备哪些资料,问题,专业回答,根据《不动产登记暂行条例》第十六条第一款的规定，办理房产过户要准备以下资料：1、登记申请书；2、申请人、代理人身份证明材料、授权委托书；3、相关的不动产权属来源证明材料、登记原因证明文件、不动产权属证书；4、不动产界址、空间界限、面积等材料；5、与他人利害关系的说明材料；6、法律、行政法规以及本条例实施细则规定的其他材料。《不动产登记暂行条例》第二十条规定，不动产登记机构应当自受理登记申请之日起30个工作日内办结不动产登记手续，法律另有规定的除外。-法律依据：《不动产登记暂行条例》第十六条申请人应当提交下列材料，并对申请材料的真实性负责：（一）登记申请书；（二）申请人、代理人身份证明材料、授权委托书；（三）相关的不动产权属来源证明材料、登记原因证明文件、不动产权属证书；（四）不动产界址、空间界限、面积等材料；（五）与他人利害关系的说明材料；（六）法律、行政法规以及本条例实施细则规定的其他材料。,回答
问农村宅基地属于夫妻共同财产吗,问题,专业回答,农村宅基地不属于夫妻共同财产，宅基地属于集体所有。根据《土地管理法》第九条的规定，城市市区的土地属于国家所有。农村和城市郊区的土地，除由法律规定属于国家所有的以外，属于农民集体所有；宅基地和自留地、自留山，属于农民集体所有。《民法典》第一千零六十二条第一款规定，夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：（一）工资、奖金、劳务报酬；（二）生产、经营、投资的收益；（三）知识产权的收益；（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；（五）其他应当归共同所有的财产。-法律依据：《民法典》第一千零六十二条第一款夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：（一）工资、奖金、劳务报酬；（二）生产、经营、投资的收益；（三）知识产权的收益；（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；（五）其他应当归共同所有的财产。,回答
问非居住房屋拆迁补偿怎么计算,问题,专业回答,非居住房屋拆迁补偿中的房屋价值的补偿，由具有相应资质的房地产价格评估机构按照房屋征收评估办法评估确定。停产停业损失的补偿，根据房屋被征收前的效益、停产停业期限等因素确定。根据《国有土地上房屋征收与补偿条例》第十七条第一款的规定，作出房屋征收决定的市、县级人民政府对被征收人给予的补偿包括：（一）被征收房屋价值的补偿；（二）因征收房屋造成的搬迁、临时安置的补偿；（三）因征收房屋造成的停产停业损失的补偿。第二十三条规定，对因征收房屋造成停产停业损失的补偿，根据房屋被征收前的效益、停产停业期限等因素确定。具体办法由省、自治区、直辖市制定。-法律依据：《国有土地上房屋征收与补偿条例》第十七条第一款作出房屋征收决定的市、县级人民政府对被征收人给予的补偿包括：（一）被征收房屋价值的补偿；（二）因征收房屋造成的搬迁、临时安置的补偿；（三）因征收房屋造成的停产停业损失的补偿。第二十三条对因征收房屋造成停产停业损失的补偿，根据房屋被征收前的效益、停产停业期限等因素确定。具体办法由省、自治区、直辖市制定。,回答
问土地使用权证纠纷是怎样的,问题,专业回答,土地使用权证纠纷有以下情形：1、当事人均认为享有某块地的使用权，因此产生纠纷。2、土地使用权证在登记时，由于登记机构人原因出现登记错误，导致权利人的权益受到损害。根据《民法典》第二百二十二条的规定，当事人提供虚假材料申请登记，造成他人损害的，应当承担赔偿责任。因登记错误，造成他人损害的，登记机构应当承担赔偿责任。登记机构赔偿后，可以向造成登记错误的人追偿。根据《土地管理法》第一款规定，土地所有权和使用权争议，由当事人协商解决；协商不成的，由人民政府处理。-法律依据：《民法典》第二百二十二条当事人提供虚假材料申请登记，造成他人损害的，应当承担赔偿责任。因登记错误，造成他人损害的，登记机构应当承担赔偿责任。登记机构赔偿后，可以向造成登记错误的人追偿。《土地管理法》第十四条第一款土地所有权和使用权争议，由当事人协商解决；协商不成的，由人民政府处理。,回答
问土地使用权益使用人是什么,问题,专业回答,土地使用权益人指的是依法对土地享有土地使用权，包括占有、使用和收益等其他排他性权利，同时有权利用该土地建造建筑物、构筑物及其附属设施的主体。根据《民法典》第三百四十四条的规定，建设用地使用权人依法对国家所有的土地享有占有、使用和收益的权利，有权利用该土地建造建筑物、构筑物及其附属设施。《城镇国有土地使用权出让和转让暂行条例》第三条规定，中华人民共和国境内外的公司、企业、其他组织和个人，除法律另有规定者外，均可依照本条例的规定取得土地使用权，进行土地开发、利用、经营。-法律依据：《民法典》第三百四十四条建设用地使用权人依法对国家所有的土地享有占有、使用和收益的权利，有权利用该土地建造建筑物、构筑物及其附属设施。《城镇国有土地使用权出让和转让暂行条例》第三条中华人民共和国境内外的公司、企业、其他组织和个人，除法律另有规定者外，均可依照本条例的规定取得土地使用权，进行土地开发、利用、经营。,回答
问购房过户要哪些材料,问题,专业回答,《不动产登记暂行条例》第十六条第一款规定，购房过户需要以下材料：1、登记申请书；2、申请人、代理人身份证明材料、授权委托书；3、相关的不动产权属来源证明材料、登记原因证明文件、不动产权属证书；4、不动产界址、空间界限、面积等材料；5、与他人利害关系的说明材料；6、法律、行政法规以及本条例实施细则规定的其他材料。根据《城市房地产管理法》第六十二条第二款的规定，在依法取得的房地产开发用地上建成房屋的，应当凭土地使用权证书向县级以上地方人民政府房产管理部门申请登记，由县级以上地方人民政府房产管理部门核实并颁发房屋所有权证书。-法律依据：《不动产登记暂行条例》第十六条第一款申请人应当提交下列材料，并对申请材料的真实性负责：（一）登记申请书；（二）申请人、代理人身份证明材料、授权委托书；（三）相关的不动产权属来源证明材料、登记原因证明文件、不动产权属证书；（四）不动产界址、空间界限、面积等材料；（五）与他人利害关系的说明材料；（六）法律、行政法规以及本条例实施细则规定的其他材料。,回答
问房租不到期的退房会承担违约金吗,问题,专业回答,房屋租赁期限未到期时的退房，承租人如没有法定或者约定的解除事由，应支付违约金。根据2021年生效的《民法典》第五百七十七条的规定，当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。第五百七十八条规定，当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满前请求其承担违约责任。第五百八十五条第一款规定，当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。-法律依据：《民法典》第五百七十七条当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。第五百七十八条当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满前请求其承担违约责任。第五百八十五条第一款当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。,回答
问房屋买卖纠纷的管辖地怎么确定,问题,专业回答,一般的房屋买卖纠纷，属于合同纠纷的，根据《民事诉讼法》第二十三条的规定确定管辖法院，由被告住所地人民法院或者合同履行地人民法院管辖。如果有签订有效的管辖协议，则以协议约定为准。政策性房屋买卖合同纠纷，则由房屋所在地人民法院管辖。《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第二十八条第二款规定，农村土地承包经营合同纠纷、房屋租赁合同纠纷、建设工程施工合同纠纷、政策性房屋买卖合同纠纷，按照不动产纠纷确定管辖。-法律依据：《民事诉讼法》第二十三条因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第二十八条第二款农村土地承包经营合同纠纷、房屋租赁合同纠纷、建设工程施工合同纠纷、政策性房屋买卖合同纠纷，按照不动产纠纷确定管辖。,回答
问二手房可以进行公证提存吗,问题,专业回答,二手房在具有符合法律规定的提存情形时，可以进行公证提存。根据2021年生效的《民法典》第五百七十条的规定，有下列情形之一，难以履行债务的，债务人可以将标的物提存：（一）债权人无正当理由拒绝受领；（二）债权人下落不明；（三）债权人死亡未确定继承人、遗产管理人，或者丧失民事行为能力未确定监护人；（四）法律规定的其他情形。标的物不适于提存或者提存费用过高的，债务人依法可以拍卖或者变卖标的物，提存所得的价款。《公证法》第二十五条第一款规定，自然人、法人或者其他组织申请办理公证，可以向住所地、经常居住地、行为地或者事实发生地的公证机构提出。-法律依据：《民法典》第五百七十条有下列情形之一，难以履行债务的，债务人可以将标的物提存：（一）债权人无正当理由拒绝受领；（二）债权人下落不明；（三）债权人死亡未确定继承人、遗产管理人，或者丧失民事行为能力未确定监护人；（四）法律规定的其他情形。标的物不适于提存或者提存费用过高的，债务人依法可以拍卖或者变卖标的物，提存所得的价款。,回答
问如何分割离婚时未取得产权的房子,问题,专业回答,分割离婚时未取得产权的房子，首先应由双方进行协商，根据协商进行分割。如果不能协商或者协商无法达成一致意见，起诉至人民法院，法院不会直接判决所有权的归属，会判决归哪一方使用。离婚时双方对尚未取得所有权或者尚未取得完全所有权的房屋有争议且协商不成的，人民法院不宜判决房屋所有权的归属，应当根据实际情况判决由当事人使用。当事人就前款规定的房屋取得完全所有权后，有争议的，可以另行向人民法院提起诉讼。-法律依据：《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第七十七条离婚时双方对尚未取得所有权或者尚未取得完全所有权的房屋有争议且协商不成的，人民法院不宜判决房屋所有权的归属，应当根据实际情况判决由当事人使用。当事人就前款规定的房屋取得完全所有权后，有争议的，可以另行向人民法院提起诉讼。,回答
