字段1,字段2,字段3
"
          问
          自然债务受法律保护吗        ","自然债务不受法律保护。

《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第十三条规定，具有下列情形之一的，人民法院应当认定民间借贷合同无效：

（一）套取金融机构贷款转贷的；

（二）以向其他营利法人借贷、向本单位职工集资，或者以向公众非法吸收存款等方式取得的资金转贷的；

（三）未依法取得放贷资格的出借人，以营利为目的向社会不特定对象提供借款的；

（四）出借人事先知道或者应当知道借款人借款用于违法犯罪活动仍然提供借款的；

（五）违反法律、行政法规强制性规定的；

（六）违背公序良俗的。","
                  法律依据：
                  《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第十三条

具有下列情形之一的，人民法院应当认定民间借贷合同无效：


（一）套取金融机构贷款转贷的；


（二）以向其他营利法人借贷、向本单位职工集资，或者以向公众非法吸收存款等方式取得的资金转贷的；


（三）未依法取得放贷资格的出借人，以营利为目的向社会不特定对象提供借款的；


（四）出借人事先知道或者应当知道借款人借款用于违法犯罪活动仍然提供借款的；


（五）违反法律、行政法规强制性规定的；


（六）违背公序良俗的。                "
"
          问
          免除债务有没有效力        ","免除债务如果是债权人的真实意思表示的，通常都是有效的。

《民法典》第五百七十五条规定，债权人免除债务人部分或者全部债务的，债权债务部分或者全部终止，但是债务人在合理期限内拒绝的除外。

第五百五十七条规定，有下列情形之一的，债权债务终止：

（一）债务已经履行；

（二）债务相互抵销；

（三）债务人依法将标的物提存；

（四）债权人免除债务；

（五）债权债务同归于一人；

（六）法律规定或者当事人约定终止的其他情形。

合同解除的，该合同的权利义务关系终止。","
                  法律依据：
                  《民法典》第五百七十五条

债权人免除债务人部分或者全部债务的，债权债务部分或者全部终止，但是债务人在合理期限内拒绝的除外。

第五百五十七条

有下列情形之一的，债权债务终止：

（一）债务已经履行；（二）债务相互抵销；（三）债务人依法将标的物提存；（四）债权人免除债务；（五）债权债务同归于一人；（六）法律规定或者当事人约定终止的其他情形。

合同解除的，该合同的权利义务关系终止。                "
"
          问
          债权债务纠纷原告起诉的条件是什么        ","根据《民事诉讼法》第一百一十九条规定，债权债务纠纷原告起诉的条件是：

（一）原告是与本案有直接利害关系的公民、法人和其他组织；

（二）有明确的被告；

（三）有具体的诉讼请求和事实、理由；

（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。

第一百二十条规定，起诉应当向人民法院递交起诉状，并按照被告人数提出副本。

书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第一百一十九条

起诉必须符合下列条件：

（一）原告是与本案有直接利害关系的公民、法人和其他组织；

（二）有明确的被告；

（三）有具体的诉讼请求和事实、理由；

（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。

第一百二十条

起诉应当向人民法院递交起诉状，并按照被告人数提出副本。

书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人。                "
"
          问
          打印的欠条有法律效力吗        ","打印的欠条，由欠款人签字确认后生效。

《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条规定，出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。","
                  法律依据：
                  《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条

出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。                "
"
          问
          追讨欠薪的法律程序        ","追讨欠薪的法律程序有以下三种：

1、向劳动监察部门举报投诉；

2、向劳动仲裁委员会申请劳动仲裁；

3、向人民法院申请支付令或者起诉。

《中华人民共和国劳动法》第九十一条规定，用人单位有下列侵害劳动者合法权益情形之一的，由劳动行政部门责令支付劳动者的工资报酬、经济补偿，并可以责令支付赔偿金：

（一）克扣或者无故拖欠劳动者工资的；

（二）拒不支付劳动者延长工作时间工资报酬的；

（三）低于当地最低工资标准支付劳动者工资的；

（四）解除劳动合同后，未依照本法规定给予劳动者经济补偿的。","
                  法律依据：
                  《中华人民共和国劳动法》第九十一条

用人单位有下列侵害劳动者合法权益情形之一的，由劳动行政部门责令支付劳动者的工资报酬、经济补偿，并可以责令支付赔偿金：

（一）克扣或者无故拖欠劳动者工资的；

（二）拒不支付劳动者延长工作时间工资报酬的；

（三）低于当地最低工资标准支付劳动者工资的；

（四）解除劳动合同后，未依照本法规定给予劳动者经济补偿的。                "
"
          问
          哪些民间借贷行为不受法律保护        ","根据《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第十三条规定，具有下列情形之一的，民间借贷行为不受法律保护：

（一）套取金融机构贷款转贷的；

（二）以向其他营利法人借贷、向本单位职工集资，或者以向公众非法吸收存款等方式取得的资金转贷的；

（三）未依法取得放贷资格的出借人，以营利为目的向社会不特定对象提供借款的；

（四）出借人事先知道或者应当知道借款人借款用于违法犯罪活动仍然提供借款的；

（五）违反法律、行政法规强制性规定的；

（六）违背公序良俗的。","
                  法律依据：
                  《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第十三条

具有下列情形之一的，人民法院应当认定民间借贷合同无效：

（一）套取金融机构贷款转贷的；

（二）以向其他营利法人借贷、向本单位职工集资，或者以向公众非法吸收存款等方式取得的资金转贷的；

（三）未依法取得放贷资格的出借人，以营利为目的向社会不特定对象提供借款的；

（四）出借人事先知道或者应当知道借款人借款用于违法犯罪活动仍然提供借款的；

（五）违反法律、行政法规强制性规定的；

（六）违背公序良俗的。                "
"
          问
          有瑕疵的欠条法院怎么审理        ","有瑕疵的欠条法院一般按以下规定审理：

《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条第二款规定，当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。

第十四条规定，原告以借据、收据、欠条等债权凭证为依据提起民间借贷诉讼，被告依据基础法律关系提出抗辩或者反诉，并提供证据证明债权纠纷非民间借贷行为引起的，人民法院应当依据查明的案件事实，按照基础法律关系审理。

当事人通过调解、和解或者清算达成的债权债务协议，不适用前款规定。","
                  法律依据：
                  《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条

出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。                "
"
          问
          欠条的诉讼时效多久        ","根据《民法典》第一百八十八条规定，欠条的诉讼时效是三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百九十二条规定，诉讼时效期间届满的，义务人可以提出不履行义务的抗辩。

诉讼时效期间届满后，义务人同意履行的，不得以诉讼时效期间届满为由抗辩；义务人已经自愿履行的，不得请求返还。","
                  法律依据：
                  《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百九十二条

诉讼时效期间届满的，义务人可以提出不履行义务的抗辩。

诉讼时效期间届满后，义务人同意履行的，不得以诉讼时效期间届满为由抗辩；义务人已经自愿履行的，不得请求返还。                "
"
          问
          被执行人财产不足以清偿全部债务怎么办        ","根据《民事诉讼法》第二百五十四条规定，人民法院采取本法第二百四十二条、第二百四十三条、第二百四十四条规定的执行措施后，被执行人仍不能偿还债务的，应当继续履行义务。债权人发现被执行人有其他财产的，可以随时请求人民法院执行。

《最高人民法院关于人民法院执行工作若干问题的规定》第五十四条规定，人民法院在审理案件期间，保证人为被执行人提供保证，人民法院据此未对被执行人的财产采取保全措施或解除保全措施的，案件审结后如果被执行人无财产可供执行或其财产不足清偿债务时，即使生效法律文书中未确定保证人承担责任，人民法院有权裁定执行保证人在保证责任范围内的财产。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二百五十四条

人民法院采取本法第二百四十二条、第二百四十三条、第二百四十四条规定的执行措施后，被执行人仍不能偿还债务的，应当继续履行义务。债权人发现被执行人有其他财产的，可以随时请求人民法院执行。

《最高人民法院关于人民法院执行工作若干问题的规定》第五十四条

人民法院在审理案件期间，保证人为被执行人提供保证，人民法院据此未对被执行人的财产采取保全措施或解除保全措施的，案件审结后如果被执行人无财产可供执行或其财产不足清偿债务时，即使生效法律文书中未确定保证人承担责任，人民法院有权裁定执行保证人在保证责任范围内的财产。                "
"
          问
          债权转让什么时候无效        ","根据《民法典》第一百四十四条规定，无民事行为能力人实施的债权转让行为无效。

第一百五十三条规定，违反法律、行政法规的强制性规定的实施的债权转让行为无效。但是，该强制性规定不导致债权转让行为无效的除外。

违背公序良俗的实施的债权转让行为无效。

第一百五十四条规定，行为人与相对人恶意串通，损害他人合法权益的实施的债权转让行为无效。","
                  法律依据：
                  《民法典》第一百四十四条

无民事行为能力人实施的民事法律行为无效。

第一百五十三条

违反法律、行政法规的强制性规定的民事法律行为无效。但是，该强制性规定不导致该民事法律行为无效的除外。

违背公序良俗的民事法律行为无效。

第一百五十四条

行为人与相对人恶意串通，损害他人合法权益的民事法律行为无效。                "
"
          问
          借条与实际借款数额不一致如何追偿        ","借条与实际借款数额不一致，以实际借款数额为准。

《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条规定，出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。","
                  法律依据：
                  《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条

出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。                "
"
          问
          债务转让怎么通知        ","债务转让不同与债权转让，债务转让必须经债权人同意，而不是转让后通知债权人。

债务转让的通知方式有：

1、口头通知。

2、书面送达。

3、短信通知。

4、邮件通知。

5、公告送达。

6、诉讼通知。

《民法典》第五百五十一条规定，债务人将债务的全部或者部分转移给第三人的，应当经债权人同意。

债务人或者第三人可以催告债权人在合理期限内予以同意，债权人未作表示的，视为不同意。

第五百五十三条规定，债务人转移债务的，新债务人可以主张原债务人对债权人的抗辩；原债务人对债权人享有债权的，新债务人不得向债权人主张抵销。","
                  法律依据：
                  《民法典》第五百五十一条

债务人将债务的全部或者部分转移给第三人的，应当经债权人同意。

债务人或者第三人可以催告债权人在合理期限内予以同意，债权人未作表示的，视为不同意。

第五百五十三条

债务人转移债务的，新债务人可以主张原债务人对债权人的抗辩；原债务人对债权人享有债权的，新债务人不得向债权人主张抵销。

第五百五十四条

债务人转移债务的，新债务人应当承担与主债务有关的从债务，但是该从债务专属于原债务人自身的除外。                "
"
          问
          债务纠纷法院起诉程序        ","债务纠纷法院起诉程序：

1、原告向人民法院递交起诉状、副本及相关的证据；

2、人民法院接受原告提交的文件、材料，并进行审查，符合条件的予以立案；

3、法院将原告的起诉书副本送达被告；

4、被告作出书面答辩；

5、开庭审理；

6、法院做出判决。

《民事诉讼法》第一百一十九条规定，起诉必须符合下列条件：

（一）原告是与本案有直接利害关系的公民、法人和其他组织；

（二）有明确的被告；

（三）有具体的诉讼请求和事实、理由；

（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。","
                  法律依据：
                  中华人民共和国民事诉讼法第一百一十九条

起诉必须符合下列条件：


（一）原告是与本案有直接利害关系的公民、法人和其他组织；


（二）有明确的被告；


（三）有具体的诉讼请求和事实、理由；


（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。                "
"
          问
          借款后跑了算诈骗吗        ","借款后跑了一般属于逃避债务，不能直接等同于诈骗，如果是以非法占有为目的，用虚构事实或者隐瞒真相的方法，骗取款额较大的公私财物的行为，则可构成诈骗。

《刑法》第二百六十六条规定，诈骗公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。","
                  法律依据：
                  《中华人民共和国刑法》第二百六十六条

诈骗公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；
数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；
数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。                "
"
          问
          借款纠纷诉讼时效怎么计算        ","根据《民法典》第一百八十八条规定，借款纠纷诉讼时效是自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

借款纠纷向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

第一百八十九条规定，当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。","
                  法律依据：
                  《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百八十九条

当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。                "
"
          问
          货款欠条的诉讼时效是多久        ","根据《民法典》第一百八十八条规定，货款欠条的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百八十九条规定，当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。","
                  法律依据：
                  中华人民共和国民法典第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

中华人民共和国民法典第一百八十九条

当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。                "
"
          问
          债权转让后债权纠纷的管辖法院属于哪里        ","债权转让后，发生债权纠纷的，根据原告就被告的一般原则，由被告住所地人民法院管辖。

根据《民事诉讼法》第二十一条规定，对公民提起的民事诉讼，由被告住所地人民法院管辖；被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。

对法人或者其他组织提起的民事诉讼，由被告住所地人民法院管辖。

同一诉讼的几个被告住所地、经常居住地在两个以上人民法院辖区的，各该人民法院都有管辖权。

第三十五条规定，两个以上人民法院都有管辖权的诉讼，原告可以向其中一个人民法院起诉；原告向两个以上有管辖权的人民法院起诉的，由最先立案的人民法院管辖。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二十一条

对公民提起的民事诉讼，由被告住所地人民法院管辖；被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。

对法人或者其他组织提起的民事诉讼，由被告住所地人民法院管辖。

同一诉讼的几个被告住所地、经常居住地在两个以上人民法院辖区的，各该人民法院都有管辖权。

第三十五条

两个以上人民法院都有管辖权的诉讼，原告可以向其中一个人民法院起诉；原告向两个以上有管辖权的人民法院起诉的，由最先立案的人民法院管辖。                "
"
          问
          普通合伙人承担合伙债务的方式有哪些        ","普通合伙人承担合伙债务的方式：

1、合伙人之间，应按照其出资比例或合伙协议的约定，以其个人财产承担无限清偿责任；

2、合伙人与债权人之间，各合伙人都承担无限连带清偿责任。而债权人也有权向合伙人中的一人或数人要求就其清偿债务的一部分或全部。

《合伙企业法》第三十八条规定，合伙企业对其债务，应先以其全部财产进行清偿。

第三十九条规定，合伙企业不能清偿到期债务的，合伙人承担无限连带责任。

第四十条规定，合伙人由于承担无限连带责任，清偿数额超过本法第三十三条第一款规定的其亏损分担比例的，有权向其他合伙人追偿。","
                  法律依据：
                  《中华人民共和国合伙企业法》第三十八条

合伙企业对其债务，应先以其全部财产进行清偿。

第三十九条

合伙企业不能清偿到期债务的，合伙人承担无限连带责任。

第四十条

合伙人由于承担无限连带责任，清偿数额超过本法第三十三条第一款规定的其亏损分担比例的，有权向其他合伙人追偿。                "
