字段1,字段2,字段3
"
          问
          个人股东卖股份如何处理        ","根据《公司法》第一百三十八条的规定，个人股东卖股份应当在依法设立的证券交易场所进行或者按照国务院规定的其他方式进行。

《公司法》第一百三十九条规定，记名股票，由股东以背书方式或者法律、行政法规规定的其他方式转让；转让后由公司将受让人的姓名或者名称及住所记载于股东名册。

股东大会召开前二十日内或者公司决定分配股利的基准日前五日内，不得进行前款规定的股东名册的变更登记。但是，法律对上市公司股东名册变更登记另有规定的，从其规定。

第一百四十条规定，无记名股票的转让，由股东将该股票交付给受让人后即发生转让的效力。","
                  法律依据：
                  《公司法》第一百三十八条

股东转让其股份，应当在依法设立的证券交易场所进行或者按照国务院规定的其他方式进行。

第一百三十九条

记名股票，由股东以背书方式或者法律、行政法规规定的其他方式转让；转让后由公司将受让人的姓名或者名称及住所记载于股东名册。

股东大会召开前二十日内或者公司决定分配股利的基准日前五日内，不得进行前款规定的股东名册的变更登记。但是，法律对上市公司股东名册变更登记另有规定的，从其规定。

第一百四十条

无记名股票的转让，由股东将该股票交付给受让人后即发生转让的效力。                "
"
          问
          大股东可以宣布公司破产吗        ","大股东不可以宣布公司破产，公司破产应当向人民法院提出破产申请。

根据《企业破产法》第七条第一款的规定，债务人有本法第二条规定的情形，可以向人民法院提出重整、和解或者破产清算申请。

债务人不能清偿到期债务，债权人可以向人民法院提出对债务人进行重整或者破产清算的申请。

第八条第一款、第二款规定，向人民法院提出破产申请，应当提交破产申请书和有关证据。

破产申请书应当载明下列事项：

（一）申请人、被申请人的基本情况；

（二）申请目的；

（三）申请的事实和理由；

（四）人民法院认为应当载明的其他事项。","
                  法律依据：
                  《企业破产法》第七条第一款

债务人有本法第二条规定的情形，可以向人民法院提出重整、和解或者破产清算申请。

债务人不能清偿到期债务，债权人可以向人民法院提出对债务人进行重整或者破产清算的申请。                "
"
          问
          办理股权转让的工商变更需要什么资料        ","办理股权转让的工商变更需要以下资料：

1、公司法定代表人签署的变更登记申请书；

2、依照《公司法》作出的变更决议或者决定；

3、修改后的公司章程；

4、新股东的主体资格证明或者自然人身份证明。

《公司登记管理条例》第三十四条第一款规定，有限责任公司变更股东的，应当自变更之日起30日内申请变更登记，并应当提交新股东的主体资格证明或者自然人身份证明。","
                  法律依据：
                  《公司登记管理条例》第三十四条第一款

有限责任公司变更股东的，应当自变更之日起30日内申请变更登记，并应当提交新股东的主体资格证明或者自然人身份证明。                "
"
          问
          申请破产员工如何赔偿        ","申请破产，员工赔偿以支付经济补偿金的方式，按照《劳动合同法》第四十七条第一款的规定进行。按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。

《企业破产法》第一百一十三条第一款规定，破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：

（一）破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

（二）破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；

（三）普通破产债权。","
                  法律依据：
                  《劳动合同法》第四十七条

经济补偿按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；
不满六个月的，向劳动者支付半个月工资的经济补偿。

《企业破产法》第一百一十三条

破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：


（一）破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；


（二）破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；


（三）普通破产债权。                "
"
          问
          如何成为有限合伙企业股东        ","成为有限合伙企业合伙人的流程如下：

1、有限合伙企业合伙人同意入伙；

2、签订入伙协议；

3、新入伙人为有限合伙人时，用货币、实物、知识产权、土地使用权或者其他财产权利作价出资。

根据《合伙企业法》第六十四条的规定，有限合伙人可以用货币、实物、知识产权、土地使用权或者其他财产权利作价出资。

有限合伙人不得以劳务出资。

第六十五条规定，有限合伙人应当按照合伙协议的约定按期足额缴纳出资；未按期足额缴纳的，应当承担补缴义务，并对其他合伙人承担违约责任。","
                  法律依据：
                  《合伙企业法》第六十四条

有限合伙人可以用货币、实物、知识产权、土地使用权或者其他财产权利作价出资。

有限合伙人不得以劳务出资。

第六十五条

有限合伙人应当按照合伙协议的约定按期足额缴纳出资；未按期足额缴纳的，应当承担补缴义务，并对其他合伙人承担违约责任。                "
"
          问
          全资子公司的法律责任母公司承担吗        ","全资子公司的法律责任，母公司不承担。在母公司出资不到位或者有关于债务承担约定的情形下，则母公司需要承担子公司的债务。

根据《中华人民共和国公司法》第十四条的规定，公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

公司可以设立子公司，子公司具有法人资格，依法独立承担民事责任。","
                  法律依据：
                  《公司法》第十四条

公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

公司可以设立子公司，子公司具有法人资格，依法独立承担民事责任。                "
"
          问
          总公司注销对分公司有影响吗        ","总公司注销对分公司有影响，因为总公司注销，分公司也应当注销。

《公司法》第十四条第一款规定，公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

《公司登记管理条例》第四十九条规定，分公司被公司撤销、依法责令关闭、吊销营业执照的，公司应当自决定作出之日起30日内向该分公司的公司登记机关申请注销登记。申请注销登记应当提交公司法定代表人签署的注销登记申请书和分公司的《营业执照》。公司登记机关准予注销登记后，应当收缴分公司的《营业执照》。","
                  法律依据：
                  《公司法》第十四条第一款

公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

《公司登记管理条例》第四十九条

分公司被公司撤销、依法责令关闭、吊销营业执照的，公司应当自决定作出之日起30日内向该分公司的公司登记机关申请注销登记。申请注销登记应当提交公司法定代表人签署的注销登记申请书和分公司的《营业执照》。公司登记机关准予注销登记后，应当收缴分公司的《营业执照》。                "
"
          问
          股权转让办理工商变更多久        ","根据《公司登记管理条例》第三十四条第一款的规定，股权转让办理工商变更的时间为：有限责任公司变更股东的，应当自变更之日起30日内申请变更登记。

《公司登记管理条例》第三十四条第二款、第三款规定，有限责任公司的自然人股东死亡后，其合法继承人继承股东资格的，公司应当依照前款规定申请变更登记。

有限责任公司的股东或者股份有限公司的发起人改变姓名或者名称的，应当自改变姓名或者名称之日起30日内申请变更登记。","
                  法律依据：
                  《公司登记管理条例》第三十四条

有限责任公司变更股东的，应当自变更之日起30日内申请变更登记，并应当提交新股东的主体资格证明或者自然人身份证明。

有限责任公司的自然人股东死亡后，其合法继承人继承股东资格的，公司应当依照前款规定申请变更登记。

有限责任公司的股东或者股份有限公司的发起人改变姓名或者名称的，应当自改变姓名或者名称之日起30日内申请变更登记。                "
"
          问
          法人变更后开户行需要变更吗        ","法人变更后开户行，一般不需要办理工商变更登记。

《公司登记管理条例》第九条规定，公司的登记事项包括：

（一）名称；

（二）住所；

（三）法定代表人姓名；

（四）注册资本；

（五）公司类型；

（六）经营范围；

（七）营业期限；

（八）有限责任公司股东或者股份有限公司发起人的姓名或者名称。

第二十六条规定，公司变更登记事项，应当向原公司登记机关申请变更登记。

未经变更登记，公司不得擅自改变登记事项。","
                  法律依据：
                  《公司登记管理条例》第九条

公司的登记事项包括：

（一）名称；

（二）住所；

（三）法定代表人姓名；

（四）注册资本；

（五）公司类型；

（六）经营范围；

（七）营业期限；

（八）有限责任公司股东或者股份有限公司发起人的姓名或者名称。                "
"
          问
          公司依法解散的流程        ","公司依法解散的流程如下：

1、解散事由出现之日起十五日内成立清算组；

2、十日内通知债权人；

3、六十日内在报纸上公告公司解散；

4、债权人申报债权；

5、编制资产负债表和财产清单；

6、清算方案确定后实施；

7、清算结束后，注销公司。

《公司法》第一百八十三条第一款规定，公司因本法第一百八十条第（一）项、第（二）项、第（四）项、第（五）项规定而解散的，应当在解散事由出现之日起十五日内成立清算组，开始清算。

第一百八十八条规定，公司清算结束后，清算组应当制作清算报告，报股东会、股东大会或者人民法院确认，并报送公司登记机关，申请注销公司登记，公告公司终止。","
                  法律依据：
                  《公司法》第一百八十三条第一款

公司因本法第一百八十条第（一）项、第（二）项、第（四）项、第（五）项规定而解散的，应当在解散事由出现之日起十五日内成立清算组，开始清算。

第一百八十八条

公司清算结束后，清算组应当制作清算报告，报股东会、股东大会或者人民法院确认，并报送公司登记机关，申请注销公司登记，公告公司终止。                "
"
          问
          开分公司可以企业做股东吗        ","开分公司，其它企业不可以直接做该分公司的股东，但是可以入股设立该分公司的总公司。

根据《公司法》第十四条第一款的规定，公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

《公司登记管理条例》第四十七条规定，公司设立分公司的，应当自决定作出之日起30日内向分公司所在地的公司登记机关申请登记；法律、行政法规或者国务院决定规定必须报经有关部门批准的，应当自批准之日起30日内向公司登记机关申请登记。","
                  法律依据：
                  《公司法》第十四条第一款

公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

《公司登记管理条例》第四十七条

公司设立分公司的，应当自决定作出之日起30日内向分公司所在地的公司登记机关申请登记；法律、行政法规或者国务院决定规定必须报经有关部门批准的，应当自批准之日起30日内向公司登记机关申请登记。                "
"
          问
          设立子公司需要董事会决议吗        ","设立子公司不需要董事会决议，但是需用股东会或者股东大会决议。

根据《公司法》第三十七条第一项的规定，股东会决定公司的经营方针和投资计划。

第四十二条规定，股东会会议由股东按照出资比例行使表决权；但是，公司章程另有规定的除外。

第四十三条规定，股东会的议事方式和表决程序，除本法有规定的外，由公司章程规定。

股东会会议作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经代表三分之二以上表决权的股东通过。","
                  法律依据：
                  《公司法》第三十七条第一项

股东会行使下列职权：

（一）决定公司的经营方针和投资计划。

第四十二条

股东会会议由股东按照出资比例行使表决权；但是，公司章程另有规定的除外。

第四十三条

股东会的议事方式和表决程序，除本法有规定的外，由公司章程规定。

股东会会议作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经代表三分之二以上表决权的股东通过。                "
"
          问
          合伙入股可以退股吗        ","合伙人入股合伙企业后可以退股。

根据《合伙企业法》第五十一条的规定，合伙人退伙，其他合伙人应当与该退伙人按照退伙时的合伙企业财产状况进行结算，退还退伙人的财产份额。退伙人对给合伙企业造成的损失负有赔偿责任的，相应扣减其应当赔偿的数额。

退伙时有未了结的合伙企业事务的，待该事务了结后进行结算。

第五十二条规定，退伙人在合伙企业中财产份额的退还办法，由合伙协议约定或者由全体合伙人决定，可以退还货币，也可以退还实物。","
                  法律依据：
                  《合伙企业法》第五十一条

合伙人退伙，其他合伙人应当与该退伙人按照退伙时的合伙企业财产状况进行结算，退还退伙人的财产份额。退伙人对给合伙企业造成的损失负有赔偿责任的，相应扣减其应当赔偿的数额。

退伙时有未了结的合伙企业事务的，待该事务了结后进行结算。

《合伙企业法》第五十二条

退伙人在合伙企业中财产份额的退还办法，由合伙协议约定或者由全体合伙人决定，可以退还货币，也可以退还实物。                "
