字段1,字段2,字段3
"
          问
          一人有多家有限公司申请破产后需要还债吗        ","一人有多家有限公司申请破产后还需要还债。企业破产后其债务按照下列顺序进行偿还：

1、破产费用；

2、共益债务；

3、破产人所欠职工的工资和社会保险及经济补偿金；

4、欠缴的保险费及税费；

5、普通债权。

根据《企业破产法》第一百一十三条的规定，破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：

（一）破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

（二）破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；

（三）普通破产债权。","
                  法律依据：
                  《企业破产法》第一百一十三条

破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：

（一）破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

（二）破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；

（三）普通破产债权。

破产财产不足以清偿同一顺序的清偿要求的，按照比例分配。

破产企业的董事、监事和高级管理人员的工资按照该企业职工的平均工资计算。                "
"
          问
          股份有限公司发起设立的程序是什么        ","股份有限工商股东发起设立的程序主要有：

1、签订发起人协议；

2、发起人认购公司股份；

3、组建公司机关；

4、办理设立登记。

经公司登记机关登记，取得公司营业执照，股份有限公司即告成立。

根据《公司法》第七十七条的规定，股份有限公司的设立，可以采取发起设立或者募集设立的方式。

发起设立，是指由发起人认购公司应发行的全部股份而设立公司。

募集设立，是指由发起人认购公司应发行股份的一部分，其余股份向社会公开募集或者向特定对象募集而设立公司。","
                  法律依据：
                  《公司法》第七十七条

股份有限公司的设立，可以采取发起设立或者募集设立的方式。

发起设立，是指由发起人认购公司应发行的全部股份而设立公司。

募集设立，是指由发起人认购公司应发行股份的一部分，其余股份向社会公开募集或者向特定对象募集而设立公司。                "
"
          问
          非上市公司收购基本程序有哪些        ","非上市公司收购流程：

1、意向洽谈；

2、双方尽职调查；

3、商定收购协议条款；

4、双方股东会决议；

5、签订正式收购协议；

6、必要时还需审计、评估和出具相关法律意见书；

7、现金收购支付收购价款，其他方式收购按照协议办理相关支付手续；

8、验资；

9、工商变更。

根据《公司法》第一百七十二条的规定，公司合并可以采取吸收合并或者新设合并。

一个公司吸收其他公司为吸收合并，被吸收的公司解散。两个以上公司合并设立一个新的公司为新设合并，合并各方解散。","
                  法律依据：
                  《公司法》第一百七十二条

公司合并可以采取吸收合并或者新设合并。

一个公司吸收其他公司为吸收合并，被吸收的公司解散。两个以上公司合并设立一个新的公司为新设合并，合并各方解散。                "
"
          问
          设立分公司的条件有哪些        ","设立分公司时需要满足以下条件：

1、需要提交总公司的营业执照、章程、法人证明及身份证复印件；

2、具有设立分公司的股东会决议、拟设立分公司的负责人任命书或决议、核准分公司名称；

3、需要提交住所地产权证或租赁合同、分公司负责人身份证复印件、办理领取营业执照。

根据《公司法》第十四条的规定，公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

公司可以设立子公司，子公司具有法人资格，依法独立承担民事责任。","
                  法律依据：
                  《公司法》第十四条

公司可以设立分公司。设立分公司，应当向公司登记机关申请登记，领取营业执照。分公司不具有法人资格，其民事责任由公司承担。

公司可以设立子公司，子公司具有法人资格，依法独立承担民事责任。                "
"
          问
          股东缴纳出资期限        ","股东缴纳出资期限应当由公司的章程来确定的。因此公司可以根据实际情况来规定股东的缴纳出资期限，依照一般的习惯，出资期限一般不超过二十年。到达二十年的，也可以通过修改章程的方式延长出资期限。但是恶意延长出资期限的除外。

根据《公司法》第二十八条第一款规定，股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东以货币出资的，应当将货币出资足额存入有限责任公司在银行开设的账户；以非货币财产出资的，应当依法办理其财产权的转移手续。","
                  法律依据：
                  《公司法》第二十八条第一款

股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东以货币出资的，应当将货币出资足额存入有限责任公司在银行开设的账户；以非货币财产出资的，应当依法办理其财产权的转移手续。                "
"
          问
          企业申请破产的条件        ","企业破产的条件是：公司不能清偿到期债务，债权人可以向人民法院提出对债务人进行重整或者破产清算的申请。或者公司已解散但未清算或者未清算完毕，资产不足以清偿债务的，依法负有清算责任的人应当向人民法院申请破产清算。

根据《企业破产法》第二条的规定，企业法人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力的，依照本法规定清理债务。

企业法人有前款规定情形，或者有明显丧失清偿能力可能的，可以依照本法规定进行重整。","
                  法律依据：
                  《企业破产法》第二条

企业法人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力的，依照本法规定清理债务。

企业法人有前款规定情形，或者有明显丧失清偿能力可能的，可以依照本法规定进行重整。                "
"
          问
          企业偷税漏税要怎么处罚        ","企业违反税务管理基本规定行为的处罚：

（一）可以处2000元以下的罚款；情节严重的，处2000元以上1万元以下的罚款。

（二）处2000元以上1万元以下的罚款；情节严重的，处1万元以上5万元以下的罚款。

根据《税收征收管理法》第六十条的规定，纳税人有下列行为之一的，由税务机关责令限期改正，可以处二千元以下的罚款；情节严重的，处二千元以上一万元以下的罚款：

(一)未按照规定的期限申报办理税务登记、变更或者注销登记的；

(二)未按照规定设置、保管帐簿或者保管记帐凭证和有关资料的；

(三)未按照规定将财务、会计制度或者财务、会计处理办法和会计核算软件报送税务机关备查的。","
                  法律依据：
                  《税收征收管理法》第六十条

纳税人有下列行为之一的，由税务机关责令限期改正，可以处二千元以下的罚款；
情节严重的，处二千元以上一万元以下的罚款：


(一)未按照规定的期限申报办理税务登记、变更或者注销登记的；


(二)未按照规定设置、保管帐簿或者保管记帐凭证和有关资料的；


(三)未按照规定将财务、会计制度或者财务、会计处理办法和会计核算软件报送税务机关备查的；


(四)未按照规定将其全部银行帐号向税务机关报告的；


(五)未按照规定安装、使用税控装置，或者损毁或者擅自改动税控装置的。                "
"
          问
          抽逃出资的义务是什么        ","抽逃出资将有可能承担民事责任和行政责任。民事责任又分为对其他股东承担的违约责任，以及对公司承担的侵权责任。而行政责任则是行政机关要求构成抽逃出资的股东，将被要求将所抽逃的出资款项全额返还公司，并需缴纳所抽逃出资金额百分之五以上百分之十五以下的罚款。

根据《公司法》第三条的规定，公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；股份有限公司的股东以其认购的股份为限对公司承担责任。","
                  法律依据：
                  《公司法》第三条

公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；股份有限公司的股东以其认购的股份为限对公司承担责任。                "
"
          问
          召开股东大会通知提前多久发出        ","召开股东大会通知的时间根据不同的公司性质，有不同的规定。有限责任公司的股东大会的通知是需要提前十五日通知，但是如果股东之间或者公司章程另有规定的从其约定；股份有限公司的正式股东大会需要提前二十天通知，临时股东大会需要提前十五天通知。

根据《公司法》第四十一条的规定，召开股东会会议，应当于会议召开十五日前通知全体股东；但是，公司章程另有规定或者全体股东另有约定的除外。

股东会应当对所议事项的决定作成会议记录，出席会议的股东应当在会议记录上签名。","
                  法律依据：
                  中华人民共和国公司法第四十一条

召开股东会会议，应当于会议召开十五日前通知全体股东；
但是，公司章程另有规定或者全体股东另有约定的除外。

股东会应当对所议事项的决定作成会议记录，出席会议的股东应当在会议记录上签名。                "
"
          问
          公司回购股东的股权的情况有哪些        ","公司只有在特殊情况下才会回购股东的股权。有限责任公司和股份有限公司有着不同的条件和规定。以有限责任公司为例，只有在以下几种情况时，公司才可以回购股份：

1、公司连续五年不分配利润；

2、公司合并分立转让主要财产；

3、按照章程原本应该解散，后通过修改章程继续存续的。

根据《公司法》第七十四条的规定，有下列情形之一的，对股东会该项决议投反对票的股东可以请求公司按照合理的价格收购其股权：

(一)公司连续五年不向股东分配利润，而公司该五年连续盈利，并且符合本法规定的分配利润条件的；

(二)公司合并、分立、转让主要财产的。","
                  法律依据：
                  中华人民共和国公司法第七十四条

有下列情形之一的，对股东会该项决议投反对票的股东可以请求公司按照合理的价格收购其股权：


(一)公司连续五年不向股东分配利润，而公司该五年连续盈利，并且符合本法规定的分配利润条件的；


(二)公司合并、分立、转让主要财产的；


(三)公司章程规定的营业期限届满或者章程规定的其他解散事由出现，股东会会议通过决议修改章程使公司存续的。

自股东会会议决议通过之日起六十日内，股东与公司不能达成股权收购协议的，股东可以自股东会会议决议通过之日起九十日内向人民法院提起诉讼。                "
"
          问
          股份公司解散条件都有哪些        ","公司解散的方式分两种：一种是自愿解散。这主要是基于公司自己的要求而自愿进行的解散。另一种是强制解散。是一种并非公司自愿，但是基于法律或主管机关命令而被迫进行的解散。

根据《最高人民法院关于适用〈中华人民共和国公司法〉若干问题的规定（二）》第一条的规定，单独或者合计持有公司全部股东表决权百分之十以上的股东，以下列事由之一提起解散公司诉讼，并符合公司法第一百八十二条规定的，人民法院应予受理：

（一）公司持续两年以上无法召开股东会或者股东大会，公司经营管理发生严重困难的；

（二）股东表决时无法达到法定或者公司章程规定的比例，持续两年以上不能做出有效的股东会或者股东大会决议，公司经营管理发生严重困难的。","
                  法律依据：
                  《最高人民法院关于适用若干问题的规定（二）》第一条

单独或者合计持有公司全部股东表决权百分之十以上的股东，以下列事由之一提起解散公司诉讼，并符合公司法第一百八十二条规定的，人民法院应予受理：

（一）公司持续两年以上无法召开股东会或者股东大会，公司经营管理发生严重困难的；

（二）股东表决时无法达到法定或者公司章程规定的比例，持续两年以上不能做出有效的股东会或者股东大会决议，公司经营管理发生严重困难的；

（三）公司董事长期冲突，且无法通过股东会或者股东大会解决，公司经营管理发生严重困难的。                "
"
          问
          公司破产的清偿顺序        ","企业破产后其债务按照下列顺序进行偿还：

1、破产费用；

2、共益债务；

3、破产人所欠职工的工资和社会保险及经济补偿金；

4、欠缴的保险费及税费；

5、普通债权。

根据《企业破产法》第一百一十三条的规定，破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：

（一）破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

（二）破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；

（三）普通破产债权。

破产财产不足以清偿同一顺序的清偿要求的，按照比例分配。","
                  法律依据：
                  《企业破产法》第一百一十三条

破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：

（一）破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

（二）破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；

（三）普通破产债权。

破产财产不足以清偿同一顺序的清偿要求的，按照比例分配。

破产企业的董事、监事和高级管理人员的工资按照该企业职工的平均工资计算。                "
"
          问
          公司更改名称需要什么        ","公司更改名称需要走以下几个步骤：

1、到工商部门领取核名申请书进行新名称的核准；

2、将变更申请书等相关材料交到受理窗口；

3、申请通过后，领取新的营业执照；

4、制作新的公章、财务章、合同章等印章并备案；

5、变更组织代码；

6、完成变更登记。

根据《企业法人登记管理条例》第十七条的规定，企业法人改变名称、住所、经营场所、法定代表人、经济性质、经营范围、经营方式、注册资金、经营期限，以及增设或者撤销分支机构，应当申请办理变更登记。

第十八条规定，企业法人申请变更登记，应当在主管部门或者审批机关批准后30日内，向登记主管机关申请办理变更登记。","
                  法律依据：
                  《企业法人登记管理条例》第十七条

企业法人改变名称、住所、经营场所、法定代表人、经济性质、经营范围、经营方式、注册资金、经营期限，以及增设或者撤销分支机构，应当申请办理变更登记。

第十八条

企业法人申请变更登记，应当在主管部门或者审批机关批准后30日内，向登记主管机关申请办理变更登记。

第十九条

企业法人分立、合并、迁移，应当在主管部门或者审批机关批准后30日内，向登记主管机关申请办理变更登记、开业登记或者注销登记。                "
"
          问
          股东退股后还分红吗        ","股东退股后原则上不能分红了。因为股东退股之后，股东身份丧失。而分红的权利属于股东的固有权利，因此具有股东身份是参与分红的前提条件。因此退股后是不能参与分红的，但是若公司章程另有规定的除外。

根据《公司法》第四条规定，公司股东依法享有资产收益、参与重大决策和选择管理者等权利。

第三十四条规定，股东按照实缴的出资比例分取红利；公司新增资本时，股东有权优先按照实缴的出资比例认缴出资。但是，全体股东约定不按照出资比例分取红利或者不按照出资比例优先认缴出资的除外。","
                  法律依据：
                  《公司法》第四条

公司股东依法享有资产收益、参与重大决策和选择管理者等权利。

《公司法》第三十四条

股东按照实缴的出资比例分取红利；
公司新增资本时，股东有权优先按照实缴的出资比例认缴出资。但是，全体股东约定不按照出资比例分取红利或者不按照出资比例优先认缴出资的除外。                "
"
          问
          公司监事变更流程是什么        ","公司监事变更的具体流程需要看各个公司的章程的具体规定。但通常的流程是：三分之二以上的股东通过股东会决议变更监事，监事变更完成之后，需要修改公司章程，并及时向有关部门提交相关材料，以此来变更工商部门中监事的名单。

根据《公司法》第四十三条的规定，股东会的议事方式和表决程序，除本法有规定的外，由公司章程规定。

股东会会议作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经代表三分之二以上表决权的股东通过。","
                  法律依据：
                  《公司法》第四十三条

股东会的议事方式和表决程序，除本法有规定的外，由公司章程规定。

股东会会议作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经代表三分之二以上表决权的股东通过。                "
"
          问
          注册资本金可以使用吗        ","注册资本资金可以使用，但是必须要在法律规定和公司章程规定的范围内使用。例如是为了维持公司的经营活动、直购设备、员工薪资等原因则可以使用公司的注册资本金，但若是为了某些私人原因而要使用资本金的，则将可能构成“抽逃资金”的违法行为。

根据《公司法》第二十六条的规定，有限责任公司的注册资本为在公司登记机关登记的全体股东认缴的出资额。

法律、行政法规以及国务院决定对有限责任公司注册资本实缴、注册资本最低限额另有规定的，从其规定。","
                  法律依据：
                  《公司法》第二十六条

有限责任公司的注册资本为在公司登记机关登记的全体股东认缴的出资额。

法律、行政法规以及国务院决定对有限责任公司注册资本实缴、注册资本最低限额另有规定的，从其规定。                "
