字段1,字段2,字段3
"
          问
          子女与继母断绝关系其还有继承权吗        ","断绝关系不是法定影响继承权的事由，继子女要享有继承权，需要与继父母间有抚养关系，

根据《民法典》第一千一百二十七条规定，遗产按照下列顺序继承：（一）第一顺序：配偶、子女、父母；（二）第二顺序：兄弟姐妹、祖父母、外祖父母。继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。本编所称子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。

第一千零七十二条，继父或者继母和受其抚养教育的继子女间的权利义务关系，适用本法关于父母子女关系的规定。","
                  法律依据：
                  《民法典》第一千零六十七条

父母不履行抚养义务的，未成年子女或者不能独立生活的成年子女，有要求父母给付抚养费的权利。

成年子女不履行赡养义务的，缺乏劳动能力或者生活困难的父母，有要求成年子女给付赡养费的权利。

第一千零七十二条

继父母与继子女间，不得虐待或者歧视。

继父或者继母和受其抚养教育的继子女间的权利义务关系，适用本法关于父母子女关系的规定。                "
"
          问
          父亲死亡没有财产分割怎么处理        ","父亲死亡没有财产分割的，按照法定继承处理。

《民法典》第一千一百二十七条规定，遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。

本编所称子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。

本编所称父母，包括生父母、养父母和有扶养关系的继父母。

本编所称兄弟姐妹，包括同父母的兄弟姐妹、同父异母或者同母异父的兄弟姐妹、养兄弟姐妹、有扶养关系的继兄弟姐妹。","
                  法律依据：
                  《民法典》第一千一百二十七条

遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。

本编所称子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。

本编所称父母，包括生父母、养父母和有扶养关系的继父母。

本编所称兄弟姐妹，包括同父母的兄弟姐妹、同父异母或者同母异父的兄弟姐妹、养兄弟姐妹、有扶养关系的继兄弟姐妹。                "
"
          问
          适用法定继承情况有哪些        ","适用法定继承的情况规定在《民法典》第一千一百二十三条中，继承开始后，按照法定继承办理；有遗嘱的，按照遗嘱继承或者遗赠办理；有遗赠扶养协议的，按照协议办理。

第一千一百五十四条规定，有下列情形之一的，遗产中的有关部分按照法定继承办理：

（一）遗嘱继承人放弃继承或者受遗赠人放弃受遗赠；

（二）遗嘱继承人丧失继承权或者受遗赠人丧失受遗赠权；

（三）遗嘱继承人、受遗赠人先于遗嘱人死亡或者终止；

（四）遗嘱无效部分所涉及的遗产；

（五）遗嘱未处分的遗产。","
                  法律依据：
                  《民法典》第一千一百二十三条

继承开始后，按照法定继承办理；有遗嘱的，按照遗嘱继承或者遗赠办理；有遗赠扶养协议的，按照协议办理。

第一千一百五十四条

有下列情形之一的，遗产中的有关部分按照法定继承办理：

（一）遗嘱继承人放弃继承或者受遗赠人放弃受遗赠；

（二）遗嘱继承人丧失继承权或者受遗赠人丧失受遗赠权；

（三）遗嘱继承人、受遗赠人先于遗嘱人死亡或者终止；

（四）遗嘱无效部分所涉及的遗产；

（五）遗嘱未处分的遗产。                "
"
          问
          口头遗嘱的效力与认定是怎样的        ","口头遗嘱的效力与认定：口头遗嘱在危急情况下会发生效力，危急情况消除后，遗嘱人能够以书面或者录音录像形式立遗嘱的，所立的口头遗嘱无效。

《民法典》第一千一百三十八条规定，遗嘱人在危急情况下，可以立口头遗嘱。口头遗嘱应当有两个以上见证人在场见证。危急情况消除后，遗嘱人能够以书面或者录音录像形式立遗嘱的，所立的口头遗嘱无效。

第一千一百四十条规定，下列人员不能作为遗嘱见证人：

（一）无民事行为能力人、限制民事行为能力人以及其他不具有见证能力的人；

（二）继承人、受遗赠人；

（三）与继承人、受遗赠人有利害关系的人。","
                  法律依据：
                  《民法典》第一千一百三十八条

遗嘱人在危急情况下，可以立口头遗嘱。口头遗嘱应当有两个以上见证人在场见证。危急情况消除后，遗嘱人能够以书面或者录音录像形式立遗嘱的，所立的口头遗嘱无效。

第一千一百四十条

下列人员不能作为遗嘱见证人：

（一）无民事行为能力人、限制民事行为能力人以及其他不具有见证能力的人；

（二）继承人、受遗赠人；

（三）与继承人、受遗赠人有利害关系的人。                "
"
          问
          追讨欠款胜诉后法院如何执行        ","追讨欠款胜诉后法院执行的流程如下：

1、当事人向人民法院申请执行；

2、法院受理，当事人、利害关系人不服的，可以申请复议；

3、法院向被执行人发出执行通知；

4、采取强制措施。

《民事诉讼法》第二百四十二条规定，被执行人未按执行通知履行法律文书确定的义务，人民法院有权向有关单位查询被执行人的存款、债券、股票、基金份额等财产情况。人民法院有权根据不同情形扣押、冻结、划拨、变价被执行人的财产。人民法院查询、扣押、冻结、划拨、变价的财产不得超出被执行人应当履行义务的范围。

人民法院决定扣押、冻结、划拨、变价财产，应当作出裁定，并发出协助执行通知书，有关单位必须办理。","
                  法律依据：
                  《民事诉讼法》第二百四十二条

被执行人未按执行通知履行法律文书确定的义务，人民法院有权向有关单位查询被执行人的存款、债券、股票、基金份额等财产情况。人民法院有权根据不同情形扣押、冻结、划拨、变价被执行人的财产。人民法院查询、扣押、冻结、划拨、变价的财产不得超出被执行人应当履行义务的范围。

人民法院决定扣押、冻结、划拨、变价财产，应当作出裁定，并发出协助执行通知书，有关单位必须办理。                "
"
          问
          儿媳对房产有继承权吗        ","儿媳对房产一般没有继承权。但丧偶儿媳对公婆尽了主要赡养义务的能继承公婆遗产。

《民法典》第一千一百二十九条规定，丧偶儿媳对公婆，丧偶女婿对岳父母，尽了主要赡养义务的，作为第一顺序继承人。

第一千一百二十七条第一款、第二款规定，遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。","
                  法律依据：
                  《民法典》第一千一百二十九条

丧偶儿媳对公婆，丧偶女婿对岳父母，尽了主要赡养义务的，作为第一顺序继承人。

《民法典》第一千一百二十七条

遗产按照下列顺序继承：


（一）第一顺序：
配偶、子女、父母；


（二）第二顺序：
兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；
没有第一顺序继承人继承的，由第二顺序继承人继承。                "
"
          问
          代书遗嘱继承人可以在场见证吗        ","代书遗嘱继承人可以在场见证。但是继承人不能作为遗嘱见证人。

《民法典》第一千一百三十五条规定，代书遗嘱应当有两个以上见证人在场见证，由其中一人代书，并由遗嘱人、代书人和其他见证人签名，注明年、月、日。

第一千一百四十条规定，下列人员不能作为遗嘱见证人：

（一）无民事行为能力人、限制民事行为能力人以及其他不具有见证能力的人；

（二）继承人、受遗赠人；

（三）与继承人、受遗赠人有利害关系的人。","
                  法律依据：
                  《民法典》第一千一百三十五条

代书遗嘱应当有两个以上见证人在场见证，由其中一人代书，并由遗嘱人、代书人和其他见证人签名，注明年、月、日。

第一千一百四十条

下列人员不能作为遗嘱见证人：

（一）无民事行为能力人、限制民事行为能力人以及其他不具有见证能力的人；

（二）继承人、受遗赠人；

（三）与继承人、受遗赠人有利害关系的人。                "
"
          问
          丈夫前妻的子女有继承权吗        ","丈夫前妻的子女有继承权。被继承人的配偶、子女、父母、兄弟姐妹、祖父母、外祖父母都是法定继承人，只是继承顺序不同。父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。

《民法典》第一千一百二十七条第一款、第二款、第三款规定，遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。

本编所称子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。

第一千零八十四条第一款规定，父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。","
                  法律依据：
                  《民法典》第一千一百二十七条第一款、第二款、第三款

遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。

本编所称子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。

第一千零八十四条第一款

父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。                "
"
          问
          口头遗嘱怎样公证生效        ","口头遗嘱应当有两个以上见证人在场见证，符合法定条件的口头遗嘱即能生效：

1、立遗嘱人必须具有立遗嘱能力；

2、遗嘱内容必须是立遗嘱人的真实意思的表示；

3、处分遗产只能是个人合法财产。

《民法典》第一千一百三十八条规定，遗嘱人在危急情况下，可以立口头遗嘱。口头遗嘱应当有两个以上见证人在场见证。危急情况消除后，遗嘱人能够以书面或者录音录像形式立遗嘱的，所立的口头遗嘱无效。

第一千一百四十三条规定，无民事行为能力人或者限制民事行为能力人所立的遗嘱无效。

遗嘱必须表示遗嘱人的真实意思，受欺诈、胁迫所立的遗嘱无效。

伪造的遗嘱无效。

遗嘱被篡改的，篡改的内容无效。","
                  法律依据：
                  《民法典》第一千一百三十八条

遗嘱人在危急情况下，可以立口头遗嘱。口头遗嘱应当有两个以上见证人在场见证。危急情况消除后，遗嘱人能够以书面或者录音录像形式立遗嘱的，所立的口头遗嘱无效。

《民法典》第一千一百四十三条

无民事行为能力人或者限制民事行为能力人所立的遗嘱无效。

遗嘱必须表示遗嘱人的真实意思，受欺诈、胁迫所立的遗嘱无效。

伪造的遗嘱无效。

遗嘱被篡改的，篡改的内容无效。                "
"
          问
          有遗嘱的房子可以买吗?        ","有遗嘱的房子可以购买。遗嘱人针对房子订立遗嘱以后，将房子出售，这是遗嘱人对自己财产的自由处分，没有违反法律法规的规定，是合法的。但是遗嘱人以行为的方式对该房屋的归属作了重新选择。

根据《民法典》第一千一百四十二条的规定，遗嘱人可以撤回、变更自己所立的遗嘱。

立遗嘱后，遗嘱人实施与遗嘱内容相反的民事法律行为的，视为对遗嘱相关内容的撤回。

立有数份遗嘱，内容相抵触的，以最后的遗嘱为准。","
                  法律依据：
                  《民法典》第一千一百四十二条

遗嘱人可以撤回、变更自己所立的遗嘱。

立遗嘱后，遗嘱人实施与遗嘱内容相反的民事法律行为的，视为对遗嘱相关内容的撤回。

立有数份遗嘱，内容相抵触的，以最后的遗嘱为准。                "
"
          问
          子女去世财产由谁继承？        ","子女去世财产由配偶、子女、父母、兄弟姐妹、祖父母、外祖父母继承，如果有遗嘱的，按照遗嘱内容来继承。继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示；没有表示的，视为接受继承。

根据《民法典》第一千一百二十七条第一款、第二款的规定，遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。","
                  法律依据：
                  《民法典》第一千一百二十七条

遗产按照下列顺序继承：


（一）第一顺序：
配偶、子女、父母；


（二）第二顺序：
兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；
没有第一顺序继承人继承的，由第二顺序继承人继承。                "
"
          问
          受遗赠接受财产有没有期限限制？        ","受遗赠接受财产有期限限制，根据《民法典》第一千一百二十四条第二款的规定，该期限是六十日。

遗赠是指被继承人通过遗嘱的方式，将其遗产的一部分或全部赠予国家、社会或者法定继承人以外的人的一种民事法律行为。

根据《民法典》第一千一百二十四条的规定，继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示；没有表示的，视为接受继承。

受遗赠人应当在知道受遗赠后六十日内，作出接受或者放弃受遗赠的表示；到期没有表示的，视为放弃受遗赠。","
                  法律依据：
                  《民法典》第一千一百二十四条

继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示；没有表示的，视为接受继承。

受遗赠人应当在知道受遗赠后六十日内，作出接受或者放弃受遗赠的表示；到期没有表示的，视为放弃受遗赠。                "
"
          问
          法定继承案有人作伪证如何处理？        ","法定继承案有人作伪证的处理方式：

第一，继承人作伪证：继承人伪造、篡改遗嘱的，被伪造、被篡改部分无效，同时可以少分遗产给他，严重的可直接取消他的继承资格，追究刑事责任。

第二，他人帮助继承人作伪证：属于妨害民事行为，可以对他进行罚款、警告、司法拘留等处罚，情节严重的可以追究其刑事责任。

根据《民法典》第一千一百四十三条的规定，无民事行为能力人或者限制民事行为能力人所立的遗嘱无效。

遗嘱必须表示遗嘱人的真实意思，受欺诈、胁迫所立的遗嘱无效。

伪造的遗嘱无效。

遗嘱被篡改的，篡改的内容无效。","
                  法律依据：
                  《民法典》第一千一百四十三条

无民事行为能力人或者限制民事行为能力人所立的遗嘱无效。

遗嘱必须表示遗嘱人的真实意思，受欺诈、胁迫所立的遗嘱无效。

伪造的遗嘱无效。

遗嘱被篡改的，篡改的内容无效。                "
"
          问
          遗产分配问题怎么处理？        ","遗产分配问题的处理：

同一顺序继承人继承遗产的份额，应当均等。

对生活有特殊困难又缺乏劳动能力的继承人，分配遗产时，应予以照顾。

对被继承人尽了主要扶养义务或者与被继承人共同生活的继承人，分配遗产时，可以多分。

有扶养能力和有扶养条件的继承人，不尽扶养义务的，分配遗产时，应当不分或者少分。

继承人也可以协商。

根据《最高人民法院关于适用继承编的解释（一）》第四十三条规定，人民法院对故意隐匿、侵吞或者争抢遗产的继承人，可以酌情减少其应继承的遗产。

第十九条规定，对被继承人生活提供了主要经济来源，或者在劳务等方面给予了主要扶助的，应当认定其尽了主要赡养义务或主要扶养义务。","
                  法律依据：
                  《最高人民法院关于适用继承编的解释（一）》第四十三条

人民法院对故意隐匿、侵吞或者争抢遗产的继承人，可以酌情减少其应继承的遗产。

第十九条

对被继承人生活提供了主要经济来源，或者在劳务等方面给予了主要扶助的，应当认定其尽了主要赡养义务或主要扶养义务。                "
"
          问
          书面遗嘱的有效条件？        ","书面遗嘱的有效条件：

一、自书遗嘱由遗嘱人亲笔书写，签名，注明年、月、日。

二、代书遗嘱应当有两个以上见证人在场见证，由其中一人代书，并由遗嘱人、代书人和其他见证人签名，注明年、月、日。

三、打印遗嘱应当有两个以上见证人在场见证。遗嘱人和见证人应当在遗嘱每一页签名，注明年、月、日。

根据《民法典》第一千一百四十三条的规定，无民事行为能力人或者限制民事行为能力人所立的遗嘱无效。

遗嘱必须表示遗嘱人的真实意思，受欺诈、胁迫所立的遗嘱无效。

伪造的遗嘱无效。

遗嘱被篡改的，篡改的内容无效。","
                  法律依据：
                  《民法典》第一千一百四十三条

无民事行为能力人或者限制民事行为能力人所立的遗嘱无效。

遗嘱必须表示遗嘱人的真实意思，受欺诈、胁迫所立的遗嘱无效。

伪造的遗嘱无效。

遗嘱被篡改的，篡改的内容无效。                "
"
          问
          房屋继承有哪些步骤？        ","房屋继承的步骤：

1、房屋评估：评估公司根据房屋所处路段、坐向等因素，作出评估，定出价格。

2、继承公证：办理公证时，须提供房屋权属人的死亡证明书、原房屋权属人立有的遗嘱(如有遗嘱)，提交遗嘱原件。

3、房屋测绘：到房地产测绘部门领取测绘成果。

4、继承登记：待一切资料审核后，即发放已更改权属人的房产证明。

根据《民法典》第一千一百二十三条的规定，继承开始后，按照法定继承办理；有遗嘱的，按照遗嘱继承或者遗赠办理；有遗赠扶养协议的，按照协议办理。","
                  法律依据：
                  《民法典》第一千一百二十三条

继承开始后，按照法定继承办理；有遗嘱的，按照遗嘱继承或者遗赠办理；有遗赠扶养协议的，按照协议办理。                "
"
          问
          哪些人属于法定继承人？        ","属于法定继承人的是：

根据《民法典》第一千一百二十七条的规定，遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。

本编所称子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。

本编所称父母，包括生父母、养父母和有扶养关系的继父母。

本编所称兄弟姐妹，包括同父母的兄弟姐妹、同父异母或者同母异父的兄弟姐妹、养兄弟姐妹、有扶养关系的继兄弟姐妹。","
                  法律依据：
                  《民法典》第一千一百二十七条

遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。

本编所称子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。

本编所称父母，包括生父母、养父母和有扶养关系的继父母。                "
