字段1,字段2,字段3
"
          问
          孙女能继承爷爷遗产吗        ","孙女能继承爷爷遗产。

根据《民法典》第一千一百二十八条，被继承人的子女先于被继承人死亡的，由被继承人的子女的直系晚辈血亲代位继承。

被继承人的兄弟姐妹先于被继承人死亡的，由被继承人的兄弟姐妹的子女代位继承。

代位继承人一般只能继承被代位继承人有权继承的遗产份额。

根据《最高人民法院关于适用继承编的解释（一）》第十四条，被继承人的孙子女、外孙子女、曾孙子女、外曾孙子女都可以代位继承，代位继承人不受辈数的限制。","
                  法律依据：
                  中华人民共和国民法典第一千一百二十八条

被继承人的子女先于被继承人死亡的，由被继承人的子女的直系晚辈血亲代位继承。

被继承人的兄弟姐妹先于被继承人死亡的，由被继承人的兄弟姐妹的子女代位继承。

代位继承人一般只能继承被代位继承人有权继承的遗产份额。

最高人民法院关于适用继承编的解释（一）第十四条

被继承人的孙子女、外孙子女、曾孙子女、外曾孙子女都可以代位继承，代位继承人不受辈数的限制。                "
"
          问
          婚前全款买房婚后办房产证属于共同财产吗        ","婚前全款买房婚后办房产证属于共同财产。房屋属于不动产，不动产所有权以房屋房产证登记为准，婚前的个人财产在婚后加上配偶的名字，属于行为人对自己财产的处分，赠与给了配偶，以属于夫妻共同财产。

《民法典》第一千零六十二条规定，夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：

（一）工资、奖金、劳务报酬；

（二）生产、经营、投资的收益；

（三）知识产权的收益；

（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；

（五）其他应当归共同所有的财产。

夫妻对共同财产，有平等的处理权。","
                  法律依据：
                  《民法典》第一千零六十二条

夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：

（一）工资、奖金、劳务报酬；

（二）生产、经营、投资的收益；

（三）知识产权的收益；

（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；

（五）其他应当归共同所有的财产。

夫妻对共同财产，有平等的处理权。                "
"
          问
          一般起诉离婚调解期是多久        ","一般起诉离婚调解期多久要根据案件具体情况确定，调解达成协议的，人民法院应当制作调解书；如果感情确已破裂，调解无效的，应当准予离婚。

《民事诉讼法》第九十三条规定，人民法院审理民事案件，根据当事人自愿的原则，在事实清楚的基础上，分清是非，进行调解。

《民法典》第一千零七十九条第一、二款规定，夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；如果感情确已破裂，调解无效的，应当准予离婚。","
                  法律依据：
                  《民事诉讼法》第九十三条

人民法院审理民事案件，根据当事人自愿的原则，在事实清楚的基础上，分清是非，进行调解。

《民法典》第一千零七十九条第一、二款

夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；如果感情确已破裂，调解无效的，应当准予离婚。                "
"
          问
          继承人放弃继承时间有效期是如何的        ","继承人放弃继承时间有效期是在遗产处理前。

根据《民法典》第一千一百二十四条，继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示；没有表示的，视为接受继承。

放弃继承的时间为继承开始后。放弃继承的意思表示须在继承开始后遗产处理前这一期间作出。

继承开始前，继承人尚无继承权或处于权利不确定状态，不存在权利的放弃问题；

遗产分割后，遗产权属已经明确，再行放弃，属于自己财产之处分，已非继承法上所谓继承放弃，而属于民法上财产之抛弃。","
                  法律依据：
                  《民法典》第一千一百二十四条

继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示；没有表示的，视为接受继承。

受遗赠人应当在知道受遗赠后六十日内，作出接受或者放弃受遗赠的表示；到期没有表示的，视为放弃受遗赠。                "
"
          问
          法定继承发生的条件是什么        ","法定继承发生的条件：

1、没有遗赠扶养协议和遗嘱，或者遗嘱无效。

2、有法定继承人。

3、有可以继承的遗产。

《民法典》第一千一百二十七条规定，遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。

本编所称子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。

本编所称父母，包括生父母、养父母和有扶养关系的继父母。

本编所称兄弟姐妹，包括同父母的兄弟姐妹、同父异母或者同母异父的兄弟姐妹、养兄弟姐妹、有扶养关系的继兄弟姐妹。","
                  法律依据：
                  《民法典》第一千一百二十七条

遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。

本编所称子女，包括婚生子女、非婚生子女、养子女和有扶养关系的继子女。

本编所称父母，包括生父母、养父母和有扶养关系的继父母。

本编所称兄弟姐妹，包括同父母的兄弟姐妹、同父异母或者同母异父的兄弟姐妹、养兄弟姐妹、有扶养关系的继兄弟姐妹。                "
"
          问
          离婚房产应该如何分割        ","离婚房产的分割：

1、一方婚前全款购买的，属于个人财产的，不参与分割。

2、由一方婚前承租、婚后用共同财产购买的房屋，登记在一方名下的，以共同财产分割。

3、当事人结婚前，父母为双方购置房屋出资的，该出资应当认定为对自己子女个人的赠与，为个人财产，但父母明确表示赠与双方的为共同财产。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十七条规定，由一方婚前承租、婚后用共同财产购买的房屋，登记在一方名下的，应当认定为夫妻共同财产。

第二十九条规定，当事人结婚前，父母为双方购置房屋出资的，该出资应当认定为对自己子女个人的赠与，但父母明确表示赠与双方的除外。

当事人结婚后，父母为双方购置房屋出资的，依照约定处理；没有约定或者约定不明确的，按照民法典第一千零六十二条第一款第四项规定的原则处理。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十七条

由一方婚前承租、婚后用共同财产购买的房屋，登记在一方名下的，应当认定为夫妻共同财产。

第二十九条

当事人结婚前，父母为双方购置房屋出资的，该出资应当认定为对自己子女个人的赠与，但父母明确表示赠与双方的除外。

当事人结婚后，父母为双方购置房屋出资的，依照约定处理；没有约定或者约定不明确的，按照民法典第一千零六十二条第一款第四项规定的原则处理。                "
"
          问
          断绝父子关系协议是否具有法律效力        ","断绝父子关系协议没有法律效力，父母的抚养义务和子女的赡养义务是不能通过协议解除的。

根据《民法典》第一千零六十七条，父母不履行抚养义务的，未成年子女或者不能独立生活的成年子女，有要求父母给付抚养费的权利。

成年子女不履行赡养义务的，缺乏劳动能力或者生活困难的父母，有要求成年子女给付赡养费的权利。

为充分保障未成年人健康成长，抚养义务作为法定义务，基于亲子关系产生，自子女出生之日起，延续至子女成年或能独立生活为止，除当事人死亡外，其他任何情形下都不能免除。抚养义务是父母双方的义务，一方是否和子女共同生活、父母之间是否离婚等，均不应影响该法定义务的承担。","
                  法律依据：
                  《民法典》第一千零六十七条

父母不履行抚养义务的，未成年子女或者不能独立生活的成年子女，有要求父母给付抚养费的权利。

成年子女不履行赡养义务的，缺乏劳动能力或者生活困难的父母，有要求成年子女给付赡养费的权利。                "
"
          问
          父母将房屋交给子女有哪几种方式        ","父母将房屋交给子女有的方式：

1、继承。

2、赠与。

3、买卖。

根据《不动产登记暂行条例实施细则》第十四条，因继承、受遗赠取得不动产，当事人申请登记的，应当提交死亡证明材料、遗嘱或者全部法定继承人关于不动产分配的协议以及与被继承人的亲属关系材料等，也可以提交经公证的材料或者生效的法律文书。

根据《民法典》第一千一百二十七条，遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。","
                  法律依据：
                  不动产登记暂行条例实施细则第十四条

因继承、受遗赠取得不动产，当事人申请登记的，应当提交死亡证明材料、遗嘱或者全部法定继承人关于不动产分配的协议以及与被继承人的亲属关系材料等，也可以提交经公证的材料或者生效的法律文书。

中华人民共和国民法典第一千一百二十七条

遗产按照下列顺序继承：


（一）第一顺序：
配偶、子女、父母；


（二）第二顺序：
兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；
没有第一顺序继承人继承的，由第二顺序继承人继承。                "
"
          问
          一方死亡怎么要孩子的抚养权        ","一方死亡的，孩子的抚养权自动归另一方，也可以起诉要求变更抚养权。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第五十六条规定，具有下列情形之一，父母一方要求变更子女抚养关系的，人民法院应予支持：

（一）与子女共同生活的一方因患严重疾病或者因伤残无力继续抚养子女；

（二）与子女共同生活的一方不尽抚养义务或有虐待子女行为，或者其与子女共同生活对子女身心健康确有不利影响；

（三）已满八周岁的子女，愿随另一方生活，该方又有抚养能力；

（四）有其他正当理由需要变更。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第五十六条

具有下列情形之一，父母一方要求变更子女抚养关系的，人民法院应予支持：

（一）与子女共同生活的一方因患严重疾病或者因伤残无力继续抚养子女；

（二）与子女共同生活的一方不尽抚养义务或有虐待子女行为，或者其与子女共同生活对子女身心健康确有不利影响；

（三）已满八周岁的子女，愿随另一方生活，该方又有抚养能力；

（四）有其他正当理由需要变更。                "
"
          问
          现在婚姻法可以强制离婚吗        ","现在婚姻法不可以强制离婚。离婚有两种方式：

1、协议离婚，夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

2、诉讼离婚，夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

婚姻法2021年开始失效，由《民法典》代替。

《民法典》第一千零七十六条规定，夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。

第一千零七十九条第一、二款规定，夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；如果感情确已破裂，调解无效的，应当准予离婚。","
                  法律依据：
                  中华人民共和国民法典第一千零七十六条

夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。

中华人民共和国民法典第一千零七十九条

夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；
如果感情确已破裂，调解无效的，应当准予离婚。                "
"
          问
          夫妻共同房产分割的执行        ","夫妻共同房产分割的执行：

1、按双方约定或者法院判决书、调解书执行；

2、未按执行通知履行的，人民法院可以强制执行或者委托有关单位或者其他人完成，费用由被执行人承担。

《民法典》第一千零八十七条规定，离婚时，夫妻的共同财产由双方协议处理；协议不成的，由人民法院根据财产的具体情况，按照照顾子女、女方和无过错方权益的原则判决。

对夫或者妻在家庭土地承包经营中享有的权益等，应当依法予以保护。

《民事诉讼法》第二百五十二条规定，对判决、裁定和其他法律文书指定的行为，被执行人未按执行通知履行的，人民法院可以强制执行或者委托有关单位或者其他人完成，费用由被执行人承担。","
                  法律依据：
                  《民法典》第一千零八十七条

离婚时，夫妻的共同财产由双方协议处理；协议不成的，由人民法院根据财产的具体情况，按照照顾子女、女方和无过错方权益的原则判决。

对夫或者妻在家庭土地承包经营中享有的权益等，应当依法予以保护。

《民事诉讼法》第二百五十二条

对判决、裁定和其他法律文书指定的行为，被执行人未按执行通知履行的，人民法院可以强制执行或者委托有关单位或者其他人完成，费用由被执行人承担。                "
"
          问
          公积金是否计入夫妻共同财产        ","公积金计入夫妻共同财产。男女双方实际取得或者应当取得的住房补贴、住房公积金属于夫妻共同所有的财产。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十五条规定，婚姻关系存续期间，下列财产属于民法典第一千零六十二条规定的“其他应当归共同所有的财产”：

（一）一方以个人财产投资取得的收益；

（二）男女双方实际取得或者应当取得的住房补贴、住房公积金；

（三）男女双方实际取得或者应当取得的基本养老金、破产安置补偿费。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十五条

婚姻关系存续期间，下列财产属于民法典第一千零六十二条规定的“其他应当归共同所有的财产”：

（一）一方以个人财产投资取得的收益；

（二）男女双方实际取得或者应当取得的住房补贴、住房公积金；

（三）男女双方实际取得或者应当取得的基本养老金、破产安置补偿费。                "
"
          问
          向法院提起离婚的程序步骤有哪些        ","向法院提起离婚的程序步骤有：

1、书写离婚起诉书。

2、带上身份证明材料、夫妻双方关系证明材料、诉讼材料如证据等。

3、去有管辖权的法院进行起诉、立案。

4、法院进行调解，调解不成，开庭审理。

5、审理结束，进行宣判。

根据《民法典》第一千零七十九条，夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；如果感情确已破裂，调解无效的，应当准予离婚。

有下列情形之一，调解无效的，应当准予离婚：

（一）重婚或者与他人同居；

（二）实施家庭暴力或者虐待、遗弃家庭成员；

（三）有赌博、吸毒等恶习屡教不改；

（四）因感情不和分居满二年；

（五）其他导致夫妻感情破裂的情形。","
                  法律依据：
                  《民法典》第一千零七十九条

夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；
如果感情确已破裂，调解无效的，应当准予离婚。

有下列情形之一，调解无效的，应当准予离婚：


（一）重婚或者与他人同居；


（二）实施家庭暴力或者虐待、遗弃家庭成员；


（三）有赌博、吸毒等恶习屡教不改；


（四）因感情不和分居满二年；


（五）其他导致夫妻感情破裂的情形。                "
"
          问
          知识产权收益属于夫妻的共同财产吗        ","知识产权收益属于夫妻共同财产。

《民法典》第一千零六十二条规定，夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：

（一）工资、奖金、劳务报酬；

（二）生产、经营、投资的收益；

（三）知识产权的收益；

（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；

（五）其他应当归共同所有的财产。

夫妻对共同财产，有平等的处理权。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第二十四条规定，民法典第一千零六十二条第一款第三项规定的“知识产权的收益”，是指婚姻关系存续期间，实际取得或者已经明确可以取得的财产性收益。","
                  法律依据：
                  《民法典》第一千零六十二条

夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：


（一）工资、奖金、劳务报酬；


（二）生产、经营、投资的收益；


（三）知识产权的收益；


（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；


（五）其他应当归共同所有的财产。

夫妻对共同财产，有平等的处理权。                "
"
          问
          离婚方式有哪几种        ","离婚方式有两种：

1、协议离婚：双方协商一致，拟定好离婚协议书，去民政局登记，通过三十日的离婚冷静期，即可离婚。

根据《民法典》第一千零七十六条，夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

根据第一千零七十七条，自婚姻登记机关收到离婚登记申请之日起三十日内，任何一方不愿意离婚的，可以向婚姻登记机关撤回离婚登记申请。

2、诉讼离婚：向人民法院提起诉讼，根据《民法典》第一千零七十九条，如果感情确已破裂，调解无效的，应当准予离婚。

有下列情形之一，调解无效的，应当准予离婚：

（一）重婚或者与他人同居；

（二）实施家庭暴力或者虐待、遗弃家庭成员；

（三）有赌博、吸毒等恶习屡教不改；

（四）因感情不和分居满二年；

（五）其他导致夫妻感情破裂的情形。","
                  法律依据：
                  中华人民共和国民法典第一千零七十九条

夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；
如果感情确已破裂，调解无效的，应当准予离婚。

有下列情形之一，调解无效的，应当准予离婚：


（一）重婚或者与他人同居；


（二）实施家庭暴力或者虐待、遗弃家庭成员；


（三）有赌博、吸毒等恶习屡教不改；


（四）因感情不和分居满二年；


（五）其他导致夫妻感情破裂的情形。                "
"
          问
          我国婚姻法规定的夫妻财产有哪些        ","我国婚姻法规定的夫妻财产有：

（一）工资、奖金、劳务报酬；

（二）生产、经营、投资的收益；

（三）知识产权的收益；

（四）继承或者受赠的财产，但遗嘱或者赠与合同中确定只归一方的除外；

（五）其他应当归共同所有的财产。

婚姻法2021年开始失效，由《民法典》代替。

《民法典》第一千零六十二条规定，夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：

（一）工资、奖金、劳务报酬；

（二）生产、经营、投资的收益；

（三）知识产权的收益；

（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；

（五）其他应当归共同所有的财产。

夫妻对共同财产，有平等的处理权。","
                  法律依据：
                  《民法典》第一千零六十二条

夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：


（一）工资、奖金、劳务报酬；


（二）生产、经营、投资的收益；


（三）知识产权的收益；


（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；


（五）其他应当归共同所有的财产。

夫妻对共同财产，有平等的处理权。                "
